lamda	 DiffPhase
400.090010 2.492491e-05 
400.180010 2.826872e-05 
400.270010 3.223276e-05 
400.360010 3.691589e-05 
400.450010 4.238431e-05 
400.540010 4.861585e-05 
400.630010 5.541045e-05 
400.720010 6.228172e-05 
400.810010 6.839714e-05 
400.900010 7.269234e-05 
400.990010 7.423920e-05 
401.080010 7.271077e-05 
401.170010 6.857310e-05 
401.260010 6.282209e-05 
401.350010 5.651162e-05 
401.440010 5.042714e-05 
401.530010 4.501146e-05 
401.620010 4.044149e-05 
401.710010 3.673723e-05 
401.800010 3.384681e-05 
401.890010 3.169853e-05 
401.980010 3.022892e-05 
402.070010 2.939712e-05 
402.160010 2.919337e-05 
402.250010 2.964661e-05 
402.340010 3.083482e-05 
402.430010 3.290131e-05 
402.520010 3.608061e-05 
402.610010 4.073730e-05 
402.700010 4.741706e-05 
402.790010 5.688756e-05 
402.880010 7.006871e-05 
402.970010 8.753476e-05 
403.060010 1.079617e-04 
403.150010 1.256625e-04 
403.240010 1.315201e-04 
403.330010 1.217476e-04 
403.420010 1.028516e-04 
403.510010 8.355054e-05 
403.600010 6.805827e-05 
403.690010 5.693139e-05 
403.780010 4.946070e-05 
403.870010 4.485054e-05 
403.960010 4.255346e-05 
404.050010 -2.718206e-03 
404.140010 4.420397e-05 
404.230010 4.861544e-05 
404.320010 5.644507e-05 
404.410010 6.926954e-05 
404.500010 8.940580e-05 
404.590010 1.185866e-04 
404.680010 1.519237e-04 
404.770010 1.699429e-04 
404.860010 1.559430e-04 
404.950010 1.236875e-04 
405.040010 9.411994e-05 
405.130010 7.372097e-05 
405.220010 6.121754e-05 
405.310010 5.441289e-05 
405.400010 5.192775e-05 
405.490010 5.331769e-05 
405.580010 5.907091e-05 
405.670010 7.085024e-05 
405.760010 9.196332e-05 
405.850010 1.268195e-04 
405.940010 1.728451e-04 
406.030010 2.004212e-04 
406.120010 1.780446e-04 
406.210010 1.325295e-04 
406.300010 9.672714e-05 
406.390010 7.528363e-05 
406.480010 6.411291e-05 
406.570010 -2.700439e-03 
406.660010 6.211605e-05 
406.750010 7.107481e-05 
406.840010 9.030566e-05 
406.930010 1.262269e-04 
407.020010 1.819344e-04 
407.110010 2.252381e-04 
407.200010 2.014156e-04 
407.290010 1.438845e-04 
407.380010 1.016916e-04 
407.470010 7.883929e-05 
407.560010 6.874717e-05 
407.650010 6.770683e-05 
407.740010 7.554422e-05 
407.830010 9.589314e-05 
407.920010 1.372993e-04 
408.010010 2.045562e-04 
408.100010 2.491503e-04 
408.190010 2.058134e-04 
408.280010 1.389787e-04 
408.370010 9.813729e-05 
408.460010 7.899540e-05 
408.550010 -2.686994e-03 
408.640010 7.937893e-05 
408.730010 9.984290e-05 
408.820010 1.453486e-04 
408.910010 2.233031e-04 
409.000010 2.690744e-04 
409.090010 2.087462e-04 
409.180010 1.358951e-04 
409.270010 9.690251e-05 
409.360010 8.131378e-05 
409.450010 8.097693e-05 
409.540010 9.607640e-05 
409.630010 1.359858e-04 
409.720010 2.159387e-04 
409.810010 2.875133e-04 
409.900010 2.343030e-04 
409.990010 1.485644e-04 
410.080010 1.031607e-04 
410.170010 8.629768e-05 
410.260010 -2.672694e-03 
410.350010 1.092526e-04 
410.440010 1.650790e-04 
410.530010 2.653339e-04 
410.620010 2.967005e-04 
410.710010 2.008620e-04 
410.800010 1.268563e-04 
410.890010 9.605238e-05 
410.980010 9.053490e-05 
411.070010 1.066848e-04 
411.160010 1.572628e-04 
411.250010 2.619556e-04 
411.340010 3.175894e-04 
411.430010 2.179098e-04 
411.520010 1.339318e-04 
411.610010 1.004001e-04 
411.700010 -2.664498e-03 
411.790010 1.177526e-04 
411.880010 1.839287e-04 
411.970010 3.049477e-04 
412.060010 3.103796e-04 
412.150010 1.897253e-04 
412.240010 1.214457e-04 
412.330010 1.000785e-04 
412.420010 1.080651e-04 
412.510010 1.535417e-04 
412.600010 2.662132e-04 
412.690010 3.487529e-04 
412.780010 2.356532e-04 
412.870010 1.400497e-04 
412.960010 1.066713e-04 
413.050010 -2.651547e-03 
413.140010 1.500877e-04 
413.230010 2.628387e-04 
413.320010 3.633696e-04 
413.410010 2.478445e-04 
413.500010 1.444907e-04 
413.590010 1.102023e-04 
413.680010 1.155610e-04 
413.770010 1.673056e-04 
413.860010 3.014222e-04 
413.950010 3.652830e-04 
414.040010 2.212313e-04 
414.130010 1.341391e-04 
414.220010 -2.648423e-03 
414.310010 1.322423e-04 
414.400010 2.182758e-04 
414.490010 3.732975e-04 
414.580010 3.132906e-04 
414.670010 1.719083e-04 
414.760010 1.207603e-04 
414.850010 1.222346e-04 
414.940010 1.792374e-04 
415.030010 3.332313e-04 
415.120010 3.743803e-04 
415.210010 2.099367e-04 
415.300010 1.321512e-04 
415.390010 -2.638723e-03 
415.480010 1.666567e-04 
415.570010 3.119730e-04 
415.660010 4.003621e-04 
415.750010 2.317824e-04 
415.840010 1.393746e-04 
415.930010 1.248929e-04 
416.020010 1.701977e-04 
416.110010 3.231884e-04 
416.200010 4.068510e-04 
416.290010 2.283521e-04 
416.380010 1.394017e-04 
416.470010 -2.630039e-03 
416.560010 1.902517e-04 
416.650010 3.683445e-04 
416.740010 3.868550e-04 
416.830010 2.025252e-04 
416.920010 1.349630e-04 
417.010010 1.426644e-04 
417.100010 2.387031e-04 
417.190010 4.307635e-04 
417.280010 3.208828e-04 
417.370010 1.685100e-04 
417.460010 -2.626663e-03 
417.550010 1.738097e-04 
417.640010 3.397591e-04 
417.730010 4.314750e-04 
417.820010 2.295168e-04 
417.910010 1.437206e-04 
418.000010 1.492408e-04 
418.090010 2.566624e-04 
418.180010 4.558761e-04 
418.270010 3.078577e-04 
418.360010 1.640484e-04 
418.450010 -2.618018e-03 
418.540010 2.123101e-04 
418.630010 4.257110e-04 
418.720010 3.782483e-04 
418.810010 1.880044e-04 
418.900010 1.434961e-04 
418.990010 1.924900e-04 
419.080010 3.940050e-04 
419.170010 4.228193e-04 
419.260010 2.078218e-04 
419.350010 -2.613589e-03 
419.440010 1.868027e-04 
419.530010 3.827974e-04 
419.620010 4.423851e-04 
419.710010 2.168519e-04 
419.800010 1.500882e-04 
419.890010 1.912624e-04 
419.980010 3.968560e-04 
420.070010 4.404954e-04 
420.160010 2.125105e-04 
420.250010 -2.607968e-03 
420.340010 2.068018e-04 
420.430010 4.357090e-04 
420.520010 4.130302e-04 
420.610010 1.975284e-04 
420.700010 1.565532e-04 
420.790010 2.398636e-04 
420.880010 4.881506e-04 
420.970010 3.552561e-04 
421.060010 1.788716e-04 
421.150010 -2.593176e-03 
421.240010 3.047826e-04 
421.330010 5.152632e-04 
421.420010 2.795898e-04 
421.510010 1.650797e-04 
421.600010 1.955374e-04 
421.690010 4.164830e-04 
421.780010 4.595926e-04 
421.870010 2.137394e-04 
421.960010 -2.595367e-03 
422.050010 2.646384e-04 
422.140010 5.240824e-04 
422.230010 3.281992e-04 
422.320010 1.754585e-04 
422.410010 1.937037e-04 
422.500010 4.121404e-04 
422.590010 4.796110e-04 
422.680010 2.200321e-04 
422.770010 -2.589140e-03 
422.860010 2.893559e-04 
422.950010 5.436263e-04 
423.040010 3.033809e-04 
423.130010 1.747986e-04 
423.220010 2.220023e-04 
423.310010 4.923722e-04 
423.400010 4.151500e-04 
423.490010 1.958645e-04 
423.580010 -2.569016e-03 
423.670010 3.999982e-04 
423.760010 5.114193e-04 
423.850010 2.311067e-04 
423.940010 1.803776e-04 
424.030010 3.252462e-04 
424.120010 5.589416e-04 
424.210010 2.762672e-04 
424.300010 -2.580989e-03 
424.390010 2.786371e-04 
424.480010 5.656719e-04 
424.570010 3.239815e-04 
424.660010 1.838594e-04 
424.750010 2.526633e-04 
424.840010 5.543465e-04 
424.930010 3.652727e-04 
425.020010 -2.570676e-03 
425.110010 2.400847e-04 
425.200010 5.429727e-04 
425.290010 3.931868e-04 
425.380010 1.949817e-04 
425.470010 2.367470e-04 
425.560010 5.412058e-04 
425.650010 4.043071e-04 
425.740010 1.977532e-04 
425.830010 -2.519438e-03 
425.920010 5.521184e-04 
426.010010 3.976430e-04 
426.100010 1.979374e-04 
426.190010 2.537801e-04 
426.280010 5.735118e-04 
426.370010 3.738680e-04 
426.460010 -2.563841e-03 
426.550010 2.779537e-04 
426.640010 5.970104e-04 
426.730010 3.363761e-04 
426.820010 1.964498e-04 
426.910010 3.198919e-04 
427.000010 6.066577e-04 
427.090010 2.923742e-04 
427.180010 -2.559520e-03 
427.270010 3.888256e-04 
427.360010 5.808990e-04 
427.450010 2.511754e-04 
427.540010 2.161355e-04 
427.630010 4.885084e-04 
427.720010 5.038463e-04 
427.810010 2.206766e-04 
427.900010 -2.508511e-03 
427.990010 5.901926e-04 
428.080010 3.912302e-04 
428.170010 2.063832e-04 
428.260010 3.279854e-04 
428.350010 6.255027e-04 
428.440010 2.908712e-04 
428.530010 -2.545781e-03 
428.620010 4.662340e-04 
428.710010 5.412624e-04 
428.800010 2.306742e-04 
428.890010 2.611172e-04 
428.980010 6.129729e-04 
429.070010 3.793888e-04 
429.160010 -2.548543e-03 
429.250010 3.821017e-04 
429.340010 6.160823e-04 
429.430010 2.616419e-04 
429.520010 2.409363e-04 
429.610010 5.791712e-04 
429.700010 4.399543e-04 
429.790010 -2.542805e-03 
429.880010 3.564453e-04 
429.970010 6.394291e-04 
430.060010 2.772338e-04 
430.150010 2.415256e-04 
430.240010 5.825771e-04 
430.330010 4.474622e-04 
430.420010 -2.539089e-03 
430.510010 3.779925e-04 
430.600010 6.373374e-04 
430.690010 2.681345e-04 
430.780010 2.591395e-04 
430.870010 6.279414e-04 
430.960010 4.001810e-04 
431.050010 -2.535392e-03 
431.140010 4.555030e-04 
431.230010 5.895429e-04 
431.320010 2.445602e-04 
431.410010 3.098838e-04 
431.500010 6.722419e-04 
431.590010 3.194143e-04 
431.680010 -2.515518e-03 
431.770010 5.940257e-04 
431.860010 4.607675e-04 
431.950010 2.307813e-04 
432.040010 4.396806e-04 
432.130010 6.157760e-04 
432.220010 2.523480e-04 
432.310010 -2.437906e-03 
432.400010 6.840766e-04 
432.490010 3.104871e-04 
432.580010 2.625675e-04 
432.670010 6.469701e-04 
432.760010 4.099135e-04 
432.850010 -2.520876e-03 
432.940010 5.416458e-04 
433.030010 5.355491e-04 
433.120010 2.406798e-04 
433.210010 4.284092e-04 
433.300010 6.411937e-04 
433.390010 2.602735e-04 
433.480010 -2.414733e-03 
433.570010 6.944978e-04 
433.660010 2.967530e-04 
433.750010 2.953652e-04 
433.840010 6.973931e-04 
433.930010 3.488992e-04 
434.020010 -2.493175e-03 
434.110010 6.646422e-04 
434.200010 4.129999e-04 
434.290010 2.536737e-04 
434.380010 6.128517e-04 
434.470010 4.813438e-04 
434.560010 -2.511395e-03 
434.650010 5.572661e-04 
434.740010 5.444773e-04 
434.830010 2.503258e-04 
434.920010 5.083715e-04 
435.010010 5.957470e-04 
435.100010 -2.505705e-03 
435.190010 4.707472e-04 
435.280010 6.332926e-04 
435.370010 2.607056e-04 
435.460010 4.449725e-04 
435.550010 6.585455e-04 
435.640010 -2.494084e-03 
435.730010 4.300634e-04 
435.820010 6.739262e-04 
435.910010 2.708733e-04 
436.000010 4.249595e-04 
436.090010 6.813685e-04 
436.180010 -2.487226e-03 
436.270010 4.291538e-04 
436.360010 6.816748e-04 
436.450010 2.735504e-04 
436.540010 4.428801e-04 
436.630010 6.743443e-04 
436.720010 -2.488515e-03 
436.810010 4.670604e-04 
436.900010 6.576892e-04 
436.990010 2.696095e-04 
437.080010 5.029443e-04 
437.170010 6.292948e-04 
437.260010 -2.492754e-03 
437.350010 5.511186e-04 
437.440010 5.871008e-04 
437.530010 2.684031e-04 
437.620010 6.095734e-04 
437.710010 5.313564e-04 
437.800010 -2.486529e-03 
437.890010 6.714815e-04 
437.980010 4.667096e-04 
438.070010 2.879838e-04 
438.160010 7.250519e-04 
438.250010 4.019740e-04 
438.340010 -2.445048e-03 
438.430010 7.565426e-04 
438.520010 3.463785e-04 
438.610010 3.643514e-04 
438.700010 7.529039e-04 
438.790010 3.059399e-04 
438.880010 -2.315610e-03 
438.970010 7.022153e-04 
439.060010 2.835877e-04 
439.150010 5.605577e-04 
439.240010 6.007565e-04 
439.330010 -2.478486e-03 
439.420010 6.841582e-04 
439.510010 4.740100e-04 
439.600010 3.076202e-04 
439.690010 7.634469e-04 
439.780010 3.685718e-04 
439.870010 -2.385784e-03 
439.960010 7.631339e-04 
440.050010 3.065450e-04 
440.140010 5.034184e-04 
