lamdapeak	 Rpeak
402.250010 0.723705 
404.050010 0.722734 
405.490010 0.723579 
406.660010 0.723246 
407.650010 0.723268 
408.640010 0.719741 
409.450010 0.723830 
410.260010 0.723879 
410.980010 0.721251 
411.700010 0.722500 
412.420010 0.721503 
413.050010 0.723844 
413.680010 0.723232 
414.310010 0.714002 
414.850010 0.723933 
415.390010 0.721370 
415.930010 0.719701 
416.470010 0.722418 
417.010010 0.723231 
417.460010 0.708597 
418.000010 0.723675 
418.450010 0.718732 
418.900010 0.705669 
419.440010 0.711384 
419.890010 0.711655 
420.340010 0.704923 
420.700010 0.712623 
421.150010 0.722992 
421.600010 0.718951 
421.960010 0.711485 
422.410010 0.722424 
422.770010 0.713043 
423.220010 0.715009 
423.580010 0.723838 
423.940010 0.714208 
424.390010 0.694173 
424.750010 0.709553 
425.110010 0.716519 
425.470010 0.719073 
425.830010 0.718992 
426.190010 0.716224 
426.550010 0.708887 
426.910010 0.692890 
427.180010 0.706102 
427.540010 0.721201 
427.900010 0.722073 
428.260010 0.698739 
428.530010 0.713452 
428.890010 0.722424 
429.250010 0.682694 
429.520010 0.723199 
429.880010 0.697850 
430.150010 0.721995 
430.510010 0.693695 
430.780010 0.723815 
431.050010 0.688132 
431.410010 0.718972 
431.680010 0.717396 
432.040010 0.680300 
432.310010 0.718843 
432.580010 0.721464 
432.850010 0.696461 
433.210010 0.692911 
433.480010 0.717463 
433.750010 0.723942 
434.020010 0.718144 
434.290010 0.703459 
434.560010 0.682417 
434.920010 0.675306 
435.190010 0.691126 
435.460010 0.700708 
435.730010 0.706118 
436.000010 0.708586 
436.270010 0.708701 
436.540010 0.706496 
436.810010 0.701452 
437.080010 0.692436 
437.350010 0.677526 
437.530010 0.663030 
437.800010 0.687198 
438.070010 0.706977 
438.340010 0.720018 
438.610010 0.723807 
438.880010 0.714817 
439.150010 0.686877 
439.330010 0.672630 
439.600010 0.711373 
439.870010 0.723937 
440.140010 0.707620 
440.320010 0.649475 
440.590010 0.709314 
440.860010 0.723282 
441.130010 0.689725 
441.310010 0.688647 
441.580010 0.723740 
441.850010 0.696514 
442.030010 0.687431 
442.300010 0.723923 
442.570010 0.679218 
442.750010 0.706941 
443.020010 0.716852 
443.200010 0.660326 
443.470010 0.723785 
443.740010 0.670023 
443.920010 0.716412 
444.190010 0.696445 
444.370010 0.704563 
444.640010 0.707883 
444.820010 0.695451 
445.090010 0.711371 
445.270010 0.693620 
445.540010 0.709262 
445.720010 0.699921 
445.990010 0.700152 
446.170010 0.711289 
446.440010 0.678411 
446.620010 0.721613 
446.890010 0.631591 
447.070010 0.722557 
447.250010 0.679186 
447.520010 0.702002 
447.700010 0.716380 
447.970010 0.635998 
448.150010 0.721145 
448.330010 0.694791 
448.600010 0.673744 
448.780010 0.723931 
448.960010 0.679532 
449.230010 0.682267 
449.410010 0.723946 
449.590010 0.682839 
449.860010 0.669527 
450.040010 0.722583 
450.220010 0.702053 
450.490010 0.623946 
450.670010 0.709638 
450.850010 0.721275 
451.030010 0.671973 
451.300010 0.658245 
451.480010 0.716676 
451.660010 0.719117 
451.840010 0.670962 
452.110010 0.644329 
452.290010 0.708650 
452.470010 0.723681 
452.650010 0.700069 
452.830010 0.630702 
453.100010 0.665668 
453.280010 0.712330 
453.460010 0.723787 
453.640010 0.706900 
453.820010 0.658951 
454.090010 0.617281 
454.270010 0.682793 
454.450010 0.714757 
454.630010 0.723944 
454.810010 0.714660 
454.990010 0.687063 
455.170010 0.638119 
455.440010 0.611482 
455.620010 0.666513 
455.800010 0.699474 
455.980010 0.717233 
456.160010 0.723770 
456.340010 0.721290 
456.520010 0.710910 
456.700010 0.693076 
456.880010 0.667835 
457.060010 0.635052 
457.240010 0.594616 
457.510010 0.606111 
457.690010 0.637994 
457.870010 0.661579 
458.050010 0.678993 
