lamda	 Trans	 TransPhase	 Ref	 RefPhase
600.100010 3.203088e-01 136.157762 0.679691 -73.852237 
600.200010 3.045408e-01 -40.847158 0.695459 -70.867152 
600.300010 2.927945e-01 142.048697 0.707206 -67.981289 
600.400010 2.847546e-01 -35.119762 0.715245 -65.159737 
600.500010 2.802328e-01 147.681146 0.719767 -62.368814 
600.600010 2.791681e-01 -29.514963 0.720832 -59.574904 
600.700010 2.816335e-01 153.326733 0.718367 -56.743187 
600.800010 2.878485e-01 -23.756306 0.712151 -53.836201 
600.900010 2.982019e-01 159.277719 0.701798 -50.812147 
601.000010 3.132839e-01 -17.522984 0.686716 -47.622819 
601.100010 3.339310e-01 165.898781 0.666069 -44.211019 
601.200010 3.612780e-01 -10.387574 0.638722 -40.507336 
601.300010 3.968092e-01 173.703530 0.603191 -36.426189 
601.400010 4.423732e-01 -1.721618 0.557627 -31.861293 
601.500010 5.000803e-01 -176.531667 0.499920 -26.681294 
601.600010 5.719031e-01 9.431762 0.428097 -20.727813 
601.700010 6.586411e-01 -163.651597 0.341359 -13.821118 
601.800010 7.577962e-01 24.395739 0.242204 -5.783724 
601.900010 8.602948e-01 -146.307311 0.139705 3.503288 
602.000010 9.478827e-01 44.203183 0.052117 14.003847 
602.100010 9.962091e-01 -124.367791 0.003791 25.422940 
602.200010 9.872940e-01 67.409925 0.012706 -142.809272 
602.300010 9.230057e-01 -101.153970 0.076994 -131.383093 
602.400010 8.239429e-01 89.377021 0.176057 -120.862024 
602.500010 7.149186e-01 -81.283559 0.285081 -111.532523 
602.600010 6.132238e-01 106.835465 0.386776 -103.423414 
602.700010 5.266470e-01 -66.141696 0.473353 -96.410488 
602.800010 4.566589e-01 119.966787 0.543341 -90.311914 
602.900010 4.018075e-01 -54.654754 0.598193 -84.943360 
603.000010 3.597763e-01 130.157833 0.640224 -80.140675 
603.100010 3.283295e-01 -45.456469 0.671671 -75.764876 
603.200010 3.056467e-01 138.618782 0.694353 -71.699522 
603.300010 2.903932e-01 -37.517372 0.709607 -67.845568 
603.400010 2.816978e-01 146.222302 0.718302 -64.115784 
603.500010 2.791185e-01 -30.081355 0.720882 -60.429326 
603.600010 2.826270e-01 153.651420 0.717373 -56.706434 
603.700010 2.926276e-01 -22.495148 0.707372 -52.862881 
603.800010 3.100178e-01 161.573941 0.689982 -48.803669 
603.900010 3.362957e-01 -14.027836 0.663704 -44.415318 
604.000010 3.737039e-01 170.841232 0.626296 -39.556120 
604.100010 4.253550e-01 -3.636801 0.574645 -34.044019 
604.200010 4.951389e-01 -177.226388 0.504861 -27.643470 
604.300010 5.868493e-01 10.369308 0.413151 -20.057633 
604.400010 7.012530e-01 -160.508579 0.298747 -10.945377 
604.500010 8.293494e-01 30.440022 0.170651 -0.006629 
604.600010 9.433556e-01 -136.735328 0.056644 12.808171 
604.700010 9.990682e-01 57.473284 0.000932 27.006936 
604.800010 9.665268e-01 -108.032352 0.033473 -138.508544 
604.900010 8.615373e-01 85.506752 0.138463 -124.979279 
605.000010 7.289666e-01 -82.677424 0.271033 -113.173293 
605.100010 6.046746e-01 107.270597 0.395325 -103.235105 
605.200010 5.033866e-01 -64.417882 0.496613 -94.933415 
605.300010 4.263863e-01 122.602447 0.573614 -87.922914 
605.400010 3.700589e-01 -51.341195 0.629941 -81.876380 
605.500010 3.301534e-01 134.022000 0.669847 -76.523005 
605.600010 3.032106e-01 -41.091773 0.696789 -71.646595 
605.700010 2.868304e-01 143.492647 0.713170 -67.071990 
605.800010 2.795977e-01 -32.075648 0.720402 -62.650096 
605.900010 2.809794e-01 152.340275 0.719021 -58.243981 
606.000010 2.912956e-01 -23.121534 0.708704 -53.715595 
606.100010 3.117980e-01 161.692203 0.688202 -48.911659 
606.200010 3.448714e-01 -13.033158 0.655129 -43.646818 
606.300010 3.943226e-01 172.941296 0.605677 -37.682158 
606.400010 4.655484e-01 -0.065514 0.534452 -30.698761 
606.500010 5.647643e-01 -171.630493 0.435236 -22.273528 
606.600010 6.948912e-01 18.762966 0.305109 -11.889854 
606.700010 8.437049e-01 -148.413258 0.156295 0.924140 
606.800010 9.664069e-01 46.861169 0.033593 16.188788 
606.900010 9.959761e-01 -116.397510 0.004024 -147.079666 
607.000010 9.104725e-01 79.942538 0.089528 -130.749391 
607.100010 7.629672e-01 -85.713127 0.237033 -116.414824 
607.200010 6.164994e-01 106.121925 0.383501 -104.589539 
607.300010 4.992854e-01 -64.270629 0.500715 -94.991855 
607.400010 4.140096e-01 123.636739 0.585990 -87.094247 
607.500010 3.549173e-01 -49.663562 0.645083 -80.404304 
607.600010 3.157549e-01 136.218276 0.684245 -74.532219 
607.700010 2.919042e-01 -38.418111 0.708096 -69.178356 
607.800010 2.805452e-01 146.666353 0.719455 -64.103638 
607.900010 2.804295e-01 -28.321069 0.719570 -59.100803 
608.000010 2.917477e-01 156.821137 0.708252 -53.968338 
608.100010 3.162154e-01 -17.684926 0.683785 -48.484138 
608.200010 3.574095e-01 168.434422 0.642590 -42.374523 
608.300010 4.212530e-01 -4.455768 0.578747 -35.274444 
608.400010 5.159921e-01 -175.851979 0.484008 -26.680383 
608.500010 6.490037e-01 14.913211 0.350996 -15.924916 
608.600010 8.132352e-01 -151.444555 0.186765 -2.292404 
608.700010 9.588104e-01 45.312980 0.041190 14.455414 
608.800010 9.947741e-01 -115.983088 0.005226 -146.850368 
608.900010 8.900039e-01 82.115949 0.109996 -128.761043 
609.000010 7.215044e-01 -82.457657 0.278496 -113.344357 
609.100010 5.674691e-01 109.871472 0.432531 -101.024933 
609.200010 4.531377e-01 -60.334753 0.546862 -91.240860 
609.300010 3.753027e-01 127.658104 0.624697 -83.257702 
609.400010 3.250208e-01 -45.543874 0.674979 -76.469376 
609.500010 2.950484e-01 140.511779 0.704952 -70.423415 
609.600010 2.809298e-01 -33.830414 0.719070 -64.775297 
609.700010 2.806683e-01 151.716325 0.719332 -59.238243 
609.800010 2.944498e-01 -22.574477 0.705550 -53.538729 
609.900010 3.247559e-01 163.601281 0.675244 -47.372651 
610.000010 3.769133e-01 -9.369958 0.623087 -40.353565 
610.100010 4.597698e-01 179.047329 0.540230 -31.945952 
610.200010 5.845390e-01 9.607589 0.415461 -21.395361 
610.300010 7.541447e-01 -156.744076 0.245855 -7.756694 
610.400010 9.287340e-01 40.652165 0.071266 9.629883 
610.500010 9.991901e-01 -119.111139 0.000810 -150.143081 
610.600010 8.994045e-01 80.893332 0.100596 -130.148267 
610.700010 7.161618e-01 -82.186928 0.283838 -113.238182 
610.800010 5.510588e-01 111.044993 0.448941 -100.015912 
610.900010 4.335949e-01 -58.646966 0.566405 -89.717518 
611.000010 3.574008e-01 129.677549 0.642599 -81.402648 
611.100010 3.110675e-01 -43.245649 0.688932 -74.335488 
611.200010 2.864254e-01 143.116166 0.713575 -67.983312 
