lamda	 DiffPhase
200.018010 -1.207849e-02 
200.036010 9.667368e-03 
200.054010 -1.146459e-02 
200.072010 9.579324e-03 
200.090010 -1.235648e-02 
200.108010 7.887264e-03 
200.126010 8.346391e-03 
200.144010 -1.187348e-02 
200.162010 9.730633e-03 
200.180010 -1.145347e-02 
200.198010 9.562856e-03 
200.216010 -1.243885e-02 
200.234010 7.951535e-03 
200.252010 8.443935e-03 
200.270010 -1.181179e-02 
200.288010 9.751586e-03 
200.306010 -1.142901e-02 
200.324010 9.622689e-03 
200.342010 -1.231939e-02 
200.360010 8.103246e-03 
200.378010 8.319831e-03 
200.396010 -1.186596e-02 
200.414010 9.730177e-03 
200.432010 -1.139371e-02 
200.450010 9.734410e-03 
200.468010 -1.203758e-02 
200.486010 8.437770e-03 
200.504010 8.037570e-03 
200.522010 -1.207691e-02 
200.540010 9.627666e-03 
200.558010 -1.137478e-02 
200.576010 9.843401e-03 
200.594010 -1.170521e-02 
200.612010 9.011131e-03 
200.630010 7.965517e-03 
200.648010 -1.252191e-02 
200.666010 9.336376e-03 
200.684010 -1.142403e-02 
200.702010 9.890406e-03 
200.720010 -1.144440e-02 
200.738010 9.563181e-03 
200.756010 -1.259949e-02 
200.774010 8.363388e-03 
200.792010 8.637110e-03 
200.810010 -1.165552e-02 
200.828010 9.799328e-03 
200.846010 -1.131680e-02 
200.864010 9.872129e-03 
200.882010 -1.176084e-02 
200.900010 9.060763e-03 
200.918010 8.037336e-03 
200.936010 -1.231524e-02 
200.954010 9.358043e-03 
200.972010 -1.137569e-02 
200.990010 9.929866e-03 
201.008010 -1.134825e-02 
201.026010 9.781827e-03 
201.044010 -1.214563e-02 
201.062010 8.757753e-03 
201.080010 8.233446e-03 
201.098010 -1.186153e-02 
201.116010 9.630146e-03 
201.134010 -1.128374e-02 
201.152010 9.975612e-03 
201.170010 -1.138350e-02 
201.188010 9.742977e-03 
201.206010 -1.233244e-02 
201.224010 8.786221e-03 
201.242010 8.418353e-03 
201.260010 -1.170010e-02 
201.278010 9.699771e-03 
201.296010 -1.124469e-02 
201.314010 1.000537e-02 
201.332010 -1.135261e-02 
201.350010 9.817513e-03 
201.368010 -1.220420e-02 
201.386010 8.972900e-03 
201.404010 8.336087e-03 
201.422010 -1.173351e-02 
201.440010 9.620072e-03 
201.458010 -1.123263e-02 
201.476010 1.001760e-02 
201.494010 -1.126004e-02 
201.512010 9.960963e-03 
201.530010 -1.182166e-02 
201.548010 9.363210e-03 
201.566010 8.244115e-03 
201.584010 -1.195846e-02 
201.602010 9.283832e-03 
201.620010 -1.128559e-02 
201.638010 9.955433e-03 
201.656010 -1.116928e-02 
201.674010 1.007144e-02 
201.692010 -1.141029e-02 
201.710010 9.841796e-03 
201.728010 -1.234916e-02 
201.746010 9.210121e-03 
201.764010 8.510893e-03 
201.782010 -1.153734e-02 
201.800010 9.648096e-03 
201.818010 -1.116281e-02 
201.836010 1.005309e-02 
201.854010 -1.116057e-02 
201.872010 1.009878e-02 
201.890010 -1.148057e-02 
201.908010 9.848612e-03 
201.926010 -1.246467e-02 
201.944010 9.357905e-03 
201.962010 8.643805e-03 
201.980010 -1.141398e-02 
201.998010 9.685778e-03 
202.016010 -1.111787e-02 
202.034010 1.007355e-02 
202.052010 -1.111491e-02 
202.070010 1.015007e-02 
202.088010 -1.135846e-02 
202.106010 1.001261e-02 
202.124010 -1.212095e-02 
202.142010 9.602164e-03 
202.160010 8.457593e-03 
202.178010 -1.147411e-02 
202.196010 9.419005e-03 
202.214010 -1.112261e-02 
202.232010 9.990930e-03 
202.250010 -1.104794e-02 
202.268010 1.017344e-02 
202.286010 -1.114668e-02 
202.304010 1.018249e-02 
202.322010 -1.150628e-02 
202.340010 1.001743e-02 
202.358010 -1.236608e-02 
202.376010 9.736609e-03 
202.394010 8.649354e-03 
202.412010 -1.126267e-02 
202.430010 9.560660e-03 
202.448010 -1.103970e-02 
202.466010 1.003544e-02 
202.484010 -1.100178e-02 
202.502010 1.020817e-02 
202.520010 -1.108759e-02 
202.538010 1.024785e-02 
202.556010 -1.135544e-02 
202.574010 1.018102e-02 
202.592010 -1.200030e-02 
202.610010 9.996745e-03 
202.628010 8.578862e-03 
202.646010 -1.122290e-02 
202.664010 9.187657e-03 
202.682010 -1.102116e-02 
202.700010 9.852527e-03 
202.718010 -1.094556e-02 
202.736010 1.014728e-02 
202.754010 -1.096361e-02 
202.772010 1.027030e-02 
202.790010 -1.106663e-02 
202.808010 1.031213e-02 
202.826010 -1.131406e-02 
202.844010 1.029503e-02 
202.862010 -1.184736e-02 
202.880010 1.022188e-02 
202.898010 8.719678e-03 
202.916010 -1.103137e-02 
202.934010 8.968905e-03 
202.952010 -1.093056e-02 
202.970010 9.656099e-03 
202.988010 -1.087565e-02 
203.006010 1.004910e-02 
203.024010 -1.087788e-02 
203.042010 1.023789e-02 
203.060010 -1.092425e-02 
203.078010 1.033384e-02 
203.096010 -1.102640e-02 
203.114010 1.038564e-02 
203.132010 -1.122719e-02 
203.150010 1.041501e-02 
203.168010 -1.161253e-02 
203.186010 1.043619e-02 
203.204010 -1.219763e-02 
203.222010 1.046450e-02 
203.240010 8.789616e-03 
203.258010 -1.074407e-02 
203.276010 9.257459e-03 
203.294010 -1.074491e-02 
203.312010 9.777266e-03 
203.330010 -1.076351e-02 
203.348010 1.008527e-02 
203.366010 -1.079332e-02 
203.384010 1.025589e-02 
203.402010 -1.083705e-02 
203.420010 1.035793e-02 
203.438010 -1.090293e-02 
203.456010 1.042748e-02 
203.474010 -1.100623e-02 
203.492010 1.048493e-02 
203.510010 -1.117412e-02 
203.528010 1.054619e-02 
203.546010 -1.144891e-02 
203.564010 1.062772e-02 
203.582010 -1.185579e-02 
203.600010 1.073616e-02 
203.618010 8.982338e-03 
203.636010 -1.041273e-02 
203.654010 8.950099e-03 
203.672010 -1.042701e-02 
203.690010 9.303379e-03 
203.708010 -1.050375e-02 
203.726010 9.703025e-03 
203.744010 -1.057827e-02 
203.762010 9.990018e-03 
203.780010 -1.063663e-02 
203.798010 1.017604e-02 
203.816010 -1.068427e-02 
203.834010 1.029906e-02 
203.852010 -1.072804e-02 
203.870010 1.038597e-02 
203.888010 -1.077351e-02 
203.906010 1.045320e-02 
203.924010 -1.082559e-02 
203.942010 1.051119e-02 
203.960010 -1.088944e-02 
203.978010 1.056756e-02 
203.996010 -1.097120e-02 
204.014010 1.062895e-02 
204.032010 -1.107840e-02 
204.050010 1.070204e-02 
204.068010 -1.121958e-02 
204.086010 1.079377e-02 
204.104010 -1.140149e-02 
204.122010 1.090960e-02 
204.140010 -1.162138e-02 
204.158010 1.104815e-02 
204.176010 -1.185392e-02 
204.194010 1.119236e-02 
204.212010 -1.204445e-02 
204.230010 1.130679e-02 
204.248010 9.103538e-03 
204.266010 -9.878232e-03 
204.284010 9.144184e-03 
204.302010 -9.898997e-03 
204.320010 9.281813e-03 
204.338010 -9.966544e-03 
204.356010 9.461898e-03 
204.374010 -1.005123e-02 
204.392010 9.641317e-03 
204.410010 -1.013370e-02 
204.428010 9.799039e-03 
204.446010 -1.020573e-02 
204.464010 9.929784e-03 
204.482010 -1.026559e-02 
204.500010 1.003560e-02 
204.518010 -1.031425e-02 
204.536010 1.012075e-02 
204.554010 -1.035344e-02 
204.572010 1.018951e-02 
204.590010 -1.038484e-02 
204.608010 1.024544e-02 
204.626010 -1.040987e-02 
204.644010 1.029131e-02 
204.662010 -1.042961e-02 
204.680010 1.032920e-02 
204.698010 -1.044487e-02 
204.716010 1.036063e-02 
204.734010 -1.045622e-02 
204.752010 1.038673e-02 
204.770010 -1.046406e-02 
204.788010 1.040829e-02 
204.806010 -1.046868e-02 
204.824010 1.042586e-02 
204.842010 -1.047021e-02 
204.860010 1.043984e-02 
204.878010 -1.046875e-02 
204.896010 1.045048e-02 
204.914010 -1.046428e-02 
204.932010 1.045792e-02 
204.950010 -1.045675e-02 
204.968010 1.046221e-02 
204.986010 -1.044602e-02 
205.004010 1.046336e-02 
205.022010 -1.043186e-02 
205.040010 1.046125e-02 
205.058010 -1.041397e-02 
205.076010 1.045572e-02 
205.094010 -1.039190e-02 
205.112010 1.044651e-02 
205.130010 -1.036503e-02 
205.148010 1.043323e-02 
205.166010 -1.033252e-02 
205.184010 1.041534e-02 
205.202010 -1.029322e-02 
205.220010 1.039208e-02 
205.238010 -1.024557e-02 
205.256010 1.036243e-02 
205.274010 -1.018744e-02 
205.292010 1.032500e-02 
205.310010 -1.011599e-02 
205.328010 1.027791e-02 
205.346010 -1.002745e-02 
205.364010 1.021876e-02 
205.382010 -9.917076e-03 
205.400010 1.014466e-02 
205.418010 -9.779367e-03 
205.436010 1.005261e-02 
205.454010 -9.609382e-03 
205.472010 9.940900e-03 
205.490010 -9.406266e-03 
205.508010 9.812363e-03 
205.526010 -9.180548e-03 
205.544010 9.680364e-03 
205.562010 -8.964024e-03 
205.580010 9.574996e-03 
205.598010 -8.812663e-03 
205.616010 9.539078e-03 
205.634010 -8.786651e-03 
205.652010 9.602930e-03 
205.670010 -8.909915e-03 
205.688010 -1.147987e-02 
205.706010 1.208832e-02 
205.724010 -1.128703e-02 
205.742010 1.180950e-02 
205.760010 -1.109947e-02 
205.778010 1.154774e-02 
205.796010 -1.093967e-02 
205.814010 1.132969e-02 
205.832010 -1.081029e-02 
205.850010 1.115760e-02 
205.868010 -1.070494e-02 
205.886010 1.102333e-02 
205.904010 -1.061489e-02 
205.922010 1.091663e-02 
205.940010 -1.053124e-02 
205.958010 1.082792e-02 
205.976010 -1.044483e-02 
205.994010 1.074858e-02 
206.012010 -1.034465e-02 
206.030010 1.066994e-02 
206.048010 -1.021524e-02 
206.066010 1.058158e-02 
206.084010 -1.003215e-02 
206.102010 1.046881e-02 
206.120010 -9.756176e-03 
206.138010 1.031027e-02 
206.156010 -9.337628e-03 
206.174010 1.008586e-02 
206.192010 -8.785634e-03 
206.210010 9.834016e-03 
206.228010 -8.350870e-03 
206.246010 9.746045e-03 
206.264010 -8.426030e-03 
206.282010 -1.128916e-02 
206.300010 1.228433e-02 
206.318010 -1.100005e-02 
206.336010 1.173226e-02 
206.354010 -1.077523e-02 
206.372010 1.134404e-02 
206.390010 -1.061596e-02 
206.408010 1.109480e-02 
206.426010 -1.048737e-02 
206.444010 1.092717e-02 
206.462010 -1.035658e-02 
206.480010 1.079889e-02 
206.498010 -1.018774e-02 
206.516010 1.067774e-02 
206.534010 -9.925136e-03 
206.552010 1.052885e-02 
206.570010 -9.469843e-03 
206.588010 1.030427e-02 
206.606010 -8.729035e-03 
206.624010 9.996351e-03 
206.642010 -8.056112e-03 
206.660010 9.888413e-03 
206.678010 -8.276503e-03 
206.696010 -1.105952e-02 
206.714010 1.214010e-02 
206.732010 -1.075873e-02 
206.750010 1.151121e-02 
206.768010 -1.055951e-02 
206.786010 1.115372e-02 
206.804010 -1.040132e-02 
206.822010 1.094052e-02 
206.840010 -1.021983e-02 
206.858010 1.078383e-02 
206.876010 -9.933616e-03 
206.894010 1.062029e-02 
206.912010 -9.389551e-03 
206.930010 1.037549e-02 
206.948010 -8.430066e-03 
206.966010 1.004208e-02 
206.984010 -7.777341e-03 
207.002010 -1.116243e-02 
207.020010 1.275873e-02 
207.038010 -1.080408e-02 
207.056010 1.179982e-02 
207.074010 -1.055173e-02 
207.092010 1.126952e-02 
207.110010 -1.036641e-02 
207.128010 1.099157e-02 
207.146010 -1.014627e-02 
207.164010 1.080577e-02 
207.182010 -9.756267e-03 
207.200010 1.060926e-02 
207.218010 -8.931316e-03 
207.236010 1.029652e-02 
207.254010 -7.753458e-03 
207.272010 1.007532e-02 
207.290010 -7.943778e-03 
207.308010 -1.083305e-02 
207.326010 1.207880e-02 
207.344010 -1.053678e-02 
207.362010 1.136536e-02 
207.380010 -1.032878e-02 
207.398010 1.102794e-02 
207.416010 -1.006746e-02 
207.434010 1.081840e-02 
207.452010 -9.546681e-03 
207.470010 1.058892e-02 
207.488010 -8.387657e-03 
207.506010 1.023365e-02 
207.524010 -7.415496e-03 
207.542010 -1.096099e-02 
207.560010 1.274426e-02 
207.578010 -1.059368e-02 
207.596010 1.162867e-02 
207.614010 -1.035452e-02 
207.632010 1.113905e-02 
207.650010 -1.009137e-02 
207.668010 1.088640e-02 
207.686010 -9.562385e-03 
207.704010 1.065224e-02 
207.722010 -8.294352e-03 
207.740010 1.029571e-02 
207.758010 -7.277315e-03 
207.776010 -1.085586e-02 
207.794010 1.263697e-02 
207.812010 -1.050182e-02 
207.830010 1.153069e-02 
207.848010 -1.025761e-02 
207.866010 1.108242e-02 
207.884010 -9.906378e-03 
207.902010 1.083579e-02 
207.920010 -9.044083e-03 
207.938010 1.054495e-02 
207.956010 -7.374813e-03 
207.974010 1.030524e-02 
207.992010 -7.782579e-03 
208.010010 -1.057330e-02 
208.028010 1.186969e-02 
208.046010 -1.030089e-02 
208.064010 1.120815e-02 
208.082010 -9.976108e-03 
208.100010 1.091352e-02 
208.118010 -9.186143e-03 
208.136010 1.063779e-02 
208.154010 -7.396438e-03 
208.172010 1.036070e-02 
208.190010 -7.596619e-03 
208.208010 -1.053645e-02 
208.226010 1.190562e-02 
208.244010 -1.025718e-02 
208.262010 1.120886e-02 
208.280010 -9.882189e-03 
208.298010 1.090831e-02 
208.316010 -8.862218e-03 
208.334010 1.060761e-02 
208.352010 -6.982584e-03 
208.370010 -1.076192e-02 
208.388010 1.315508e-02 
208.406010 -1.040625e-02 
208.424010 1.162400e-02 
208.442010 -1.011841e-02 
208.460010 1.109775e-02 
208.478010 -9.534634e-03 
208.496010 1.082186e-02 
208.514010 -7.797281e-03 
208.532010 1.049296e-02 
208.550010 -7.035716e-03 
208.568010 -1.051187e-02 
208.586010 1.214602e-02 
208.604010 -1.021424e-02 
208.622010 1.126753e-02 
208.640010 -9.773888e-03 
208.658010 1.093618e-02 
208.676010 -8.401701e-03 
208.694010 1.062145e-02 
208.712010 -6.693691e-03 
208.730010 -1.055629e-02 
208.748010 1.256672e-02 
208.766010 -1.024087e-02 
208.784010 1.138202e-02 
208.802010 -9.832216e-03 
208.820010 1.099326e-02 
208.838010 -8.541781e-03 
208.856010 1.069081e-02 
