lamdapeak	 Rpeak
200.054010 0.716487 
200.180010 0.721823 
200.306010 0.723088 
200.432010 0.719612 
200.576010 0.713313 
200.720010 0.723199 
200.846010 0.722973 
201.008010 0.731354 
201.170010 0.724722 
201.332010 0.726599 
201.494010 0.736827 
201.656010 0.732789 
201.692010 0.705866 
201.854010 0.741959 
202.052010 0.743137 
202.088010 0.703935 
202.250010 0.725267 
202.286010 0.742065 
202.322010 0.656416 
202.484010 0.727978 
202.520010 0.746906 
202.556010 0.685688 
202.718010 0.671637 
202.754010 0.743617 
202.790010 0.745966 
202.826010 0.684508 
202.862010 0.515124 
202.952010 0.334478 
202.988010 0.596314 
203.024010 0.712060 
203.060010 0.752430 
203.096010 0.746773 
203.132010 0.694732 
203.168010 0.570039 
203.204010 0.324719 
203.258010 0.120855 
203.294010 0.419740 
203.330010 0.611922 
203.366010 0.707370 
203.402010 0.749328 
203.438010 0.758529 
203.474010 0.740815 
203.510010 0.691951 
203.546010 0.597511 
203.582010 0.433826 
203.618010 0.197841 
203.672010 0.153679 
203.708010 0.383553 
203.744010 0.551751 
203.780010 0.654167 
203.816010 0.713585 
203.852010 0.746300 
203.888010 0.761276 
203.924010 0.762911 
203.960010 0.752839 
203.996010 0.730809 
204.032010 0.695029 
204.068010 0.642321 
204.104010 0.568481 
204.140010 0.469619 
204.176010 0.345834 
204.212010 0.208051 
204.248010 0.083934 
204.302010 0.135846 
204.338010 0.252757 
204.374010 0.360950 
204.410010 0.450446 
204.446010 0.520887 
204.482010 0.575256 
204.518010 0.617002 
204.554010 0.649091 
204.590010 0.673836 
204.626010 0.692981 
204.662010 0.707821 
204.698010 0.719323 
204.734010 0.728208 
204.770010 0.735020 
204.806010 0.740164 
204.842010 0.743941 
204.878010 0.746569 
204.914010 0.748191 
204.950010 0.748892 
204.986010 0.748695 
205.022010 0.747571 
205.058010 0.745432 
205.094010 0.742127 
205.130010 0.737438 
205.166010 0.731062 
205.202010 0.722593 
205.238010 0.711490 
205.274010 0.697036 
205.310010 0.678270 
205.346010 0.653904 
205.382010 0.622206 
205.418010 0.580873 
205.454010 0.526951 
205.490010 0.456986 
205.526010 0.367946 
205.562010 0.260000 
205.598010 0.142617 
205.652010 0.148180 
205.688010 0.284888 
205.724010 0.418753 
205.760010 0.531175 
205.796010 0.617859 
205.832010 0.681480 
205.868010 0.726473 
205.904010 0.756769 
205.940010 0.775122 
205.976010 0.782992 
206.012010 0.780468 
206.048010 0.765973 
206.084010 0.735475 
206.120010 0.680852 
206.156010 0.587190 
206.192010 0.431914 
206.228010 0.207315 
206.282010 0.294520 
206.318010 0.512256 
206.354010 0.651452 
206.390010 0.730616 
206.426010 0.771846 
206.462010 0.787236 
206.498010 0.780419 
206.534010 0.747128 
206.570010 0.671563 
206.606010 0.517658 
206.642010 0.243114 
206.696010 0.393230 
206.732010 0.617754 
206.768010 0.730251 
206.804010 0.779546 
206.840010 0.790344 
206.876010 0.766462 
206.912010 0.691190 
206.948010 0.512497 
207.002010 0.195615 
207.038010 0.537681 
207.074010 0.710154 
207.110010 0.778808 
207.146010 0.792699 
207.182010 0.759860 
207.218010 0.650207 
207.254010 0.371192 
207.308010 0.457275 
207.344010 0.693202 
207.380010 0.779338 
207.416010 0.794306 
207.452010 0.749845 
207.488010 0.595145 
207.542010 0.243697 
207.578010 0.621474 
207.614010 0.763338 
207.650010 0.797725 
207.686010 0.762984 
207.722010 0.610859 
207.776010 0.293192 
207.812010 0.662033 
207.848010 0.781375 
207.884010 0.796033 
207.920010 0.723421 
207.956010 0.448495 
208.010010 0.561485 
208.046010 0.760343 
208.082010 0.801133 
208.118010 0.748559 
208.154010 0.504938 
208.208010 0.557591 
208.244010 0.765975 
208.280010 0.801856 
208.316010 0.730174 
208.352010 0.404120 
208.406010 0.655457 
208.442010 0.792695 
208.478010 0.789488 
208.514010 0.633089 
208.568010 0.491175 
208.604010 0.762635 
208.640010 0.804203 
208.676010 0.711582 
208.730010 0.356593 
208.766010 0.738282 
208.802010 0.806959 
208.838010 0.733192 
208.892010 0.331780 
208.928010 0.739863 
208.964010 0.808064 
209.000010 0.720401 
209.054010 0.429555 
209.090010 0.766878 
209.126010 0.804983 
209.162010 0.658670 
209.216010 0.596074 
209.252010 0.798922 
209.288010 0.781519 
209.324010 0.473570 
209.378010 0.735745 
209.414010 0.810957 
209.450010 0.688252 
209.504010 0.607372 
209.540010 0.805438 
209.576010 0.767123 
209.630010 0.418459 
209.666010 0.783135 
209.702010 0.797594 
209.738010 0.513402 
209.792010 0.755996 
209.828010 0.809131 
209.864010 0.597043 
209.918010 0.736386 
209.954010 0.813102 
209.990010 0.624953 
210.044010 0.734010 
210.080010 0.813789 
210.116010 0.611980 
210.170010 0.750388 
210.206010 0.810867 
210.242010 0.550797 
210.296010 0.777912 
210.332010 0.799408 
210.386010 0.445035 
210.422010 0.804709 
210.458010 0.767139 
210.512010 0.630108 
210.548010 0.819567 
210.584010 0.681949 
210.638010 0.752064 
210.674010 0.810156 
210.728010 0.448871 
210.764010 0.811489 
210.800010 0.746556 
210.854010 0.715851 
210.890010 0.817978 
210.926010 0.510345 
210.980010 0.812099 
211.016010 0.743279 
211.070010 0.740773 
211.106010 0.812803 
211.160010 0.550937 
211.196010 0.823341 
211.232010 0.663467 
211.286010 0.797912 
211.322010 0.772587 
211.376010 0.732997 
211.412010 0.814289 
211.466010 0.611610 
211.502010 0.826442 
211.538010 0.563932 
211.592010 0.822362 
211.628010 0.686272 
211.682010 0.807701 
211.718010 0.749075 
211.772010 0.786093 
211.808010 0.782565 
211.862010 0.761385 
211.898010 0.800795 
211.952010 0.738303 
211.988010 0.810551 
212.042010 0.721899 
212.078010 0.815237 
212.132010 0.716166 
212.168010 0.816399 
212.222010 0.722634 
212.258010 0.814277 
212.312010 0.739790 
212.348010 0.807895 
212.402010 0.763670 
