lamda	 DiffPhase
701.000010 -7.079260e-06 
702.000010 -7.050493e-06 
703.000010 -6.974118e-06 
704.000010 -6.850410e-06 
705.000010 -6.689830e-06 
706.000010 -6.509898e-06 
707.000010 -6.330649e-06 
708.000010 -6.170655e-06 
709.000010 -6.044699e-06 
710.000010 1.851503e-04 
711.000010 -5.931482e-06 
712.000010 -5.951906e-06 
713.000010 -6.022194e-06 
714.000010 -6.136016e-06 
715.000010 -6.282302e-06 
716.000010 -6.445079e-06 
717.000010 -6.604458e-06 
718.000010 -6.739499e-06 
719.000010 -6.832881e-06 
720.000010 -6.875944e-06 
721.000010 -6.871715e-06 
722.000010 -6.834145e-06 
723.000010 -6.783808e-06 
724.000010 -6.742040e-06 
725.000010 -6.725648e-06 
726.000010 -6.743202e-06 
727.000010 -6.792879e-06 
728.000010 -6.861746e-06 
729.000010 -6.926956e-06 
730.000010 -6.959927e-06 
731.000010 -6.933805e-06 
732.000010 -6.832304e-06 
733.000010 -6.655745e-06 
734.000010 -6.420823e-06 
735.000010 -6.154456e-06 
736.000010 -5.885651e-06 
737.000010 -5.639389e-06 
738.000010 -5.434074e-06 
739.000010 -5.281788e-06 
740.000010 1.859235e-04 
741.000010 -5.162433e-06 
742.000010 -5.201723e-06 
743.000010 -5.308109e-06 
744.000010 -5.479488e-06 
745.000010 -5.709505e-06 
746.000010 -5.985010e-06 
747.000010 -6.283632e-06 
748.000010 -6.573445e-06 
749.000010 -6.817378e-06 
750.000010 -6.983495e-06 
751.000010 -7.057757e-06 
752.000010 -7.051764e-06 
753.000010 -6.999790e-06 
754.000010 -6.946884e-06 
755.000010 -6.935057e-06 
756.000010 -6.992592e-06 
757.000010 -7.126592e-06 
758.000010 -7.316802e-06 
759.000010 -7.511915e-06 
760.000010 -7.635588e-06 
761.000010 -7.610487e-06 
762.000010 -7.394772e-06 
763.000010 -7.005211e-06 
764.000010 -6.505842e-06 
765.000010 -5.973708e-06 
766.000010 -5.470359e-06 
767.000010 -5.032597e-06 
768.000010 -4.676889e-06 
769.000010 -4.407754e-06 
770.000010 1.868885e-04 
771.000010 -4.127610e-06 
772.000010 -4.118152e-06 
773.000010 -4.203092e-06 
774.000010 -4.394998e-06 
775.000010 -4.713353e-06 
776.000010 -5.184077e-06 
777.000010 -5.834497e-06 
778.000010 -6.677074e-06 
779.000010 -7.673166e-06 
780.000010 -8.684093e-06 
781.000010 -9.473514e-06 
782.000010 -9.856316e-06 
783.000010 -9.912147e-06 
784.000010 -9.995152e-06 
785.000010 -1.052925e-05 
786.000010 -1.176204e-05 
787.000010 -1.332405e-05 
788.000010 -1.381745e-05 
789.000010 -1.223752e-05 
790.000010 -9.627461e-06 
791.000010 -7.311872e-06 
792.000010 -5.641409e-06 
793.000010 -4.494393e-06 
794.000010 -3.699224e-06 
795.000010 -3.132375e-06 
796.000010 1.883978e-04 
797.000010 -2.399895e-06 
798.000010 -2.154659e-06 
799.000010 -1.959796e-06 
800.000010 -1.801939e-06 
801.000010 -1.671914e-06 
802.000010 -1.563262e-06 
803.000010 -1.471327e-06 
804.000010 -1.392688e-06 
805.000010 -1.324777e-06 
806.000010 -1.265641e-06 
807.000010 -1.213765e-06 
808.000010 -1.167965e-06 
809.000010 -1.127300e-06 
810.000010 -1.091017e-06 
811.000010 -1.058504e-06 
812.000010 -1.029264e-06 
813.000010 -1.002887e-06 
814.000010 -9.790362e-07 
815.000010 -9.574307e-07 
816.000010 -9.378382e-07 
817.000010 -9.200664e-07 
818.000010 -9.039572e-07 
819.000010 -8.893827e-07 
820.000010 -8.762427e-07 
821.000010 -8.644631e-07 
822.000010 -8.539971e-07 
823.000010 -8.448264e-07 
824.000010 -8.369667e-07 
825.000010 -8.304751e-07 
826.000010 -8.254649e-07 
827.000010 -8.221273e-07 
828.000010 -8.207702e-07 
829.000010 -8.218832e-07 
830.000010 -8.262547e-07 
831.000010 -8.351917e-07 
832.000010 -8.509598e-07 
833.000010 -8.777367e-07 
834.000010 -9.238972e-07 
835.000010 -1.008288e-06 
836.000010 -1.181071e-06 
837.000010 -1.616847e-06 
838.000010 -3.342091e-06 
839.000010 -4.326391e-05 
840.000010 -4.324652e-05 
841.000010 -3.336506e-06 
842.000010 -1.608043e-06 
843.000010 -1.168775e-06 
844.000010 -9.924309e-07 
845.000010 -9.044178e-07 
846.000010 -8.545668e-07 
847.000010 -8.240193e-07 
848.000010 -8.043861e-07 
849.000010 -7.914744e-07 
850.000010 -7.830015e-07 
851.000010 -7.776416e-07 
852.000010 -7.745857e-07 
853.000010 -7.733214e-07 
854.000010 -7.735150e-07 
855.000010 -7.749465e-07 
856.000010 -7.774701e-07 
857.000010 -7.809913e-07 
858.000010 -7.854522e-07 
859.000010 -7.908220e-07 
860.000010 -7.970912e-07 
861.000010 -8.042680e-07 
862.000010 -8.123757e-07 
863.000010 -8.214517e-07 
864.000010 -8.315469e-07 
865.000010 -8.427260e-07 
866.000010 -8.550684e-07 
867.000010 -8.686692e-07 
868.000010 -8.836414e-07 
