lamda	 Trans	 TransPhase	 Ref	 RefPhase
701.000010 1.150878e+00 -57.210502 0.013533 11.806471 
702.000010 1.136624e+00 -70.545696 0.025751 10.267524 
703.000010 1.113972e+00 -83.826703 0.045166 3.942629 
704.000010 1.083263e+00 -96.963842 0.071489 -4.964881 
705.000010 1.046525e+00 -109.867952 0.102978 -15.195121 
706.000010 1.006995e+00 -122.469578 0.136862 -26.060450 
707.000010 9.683265e-01 -134.732266 0.170006 -37.187439 
708.000010 9.338838e-01 -146.657303 0.199528 -48.385881 
709.000010 9.063215e-01 -158.280959 0.223153 -59.579969 
710.000010 8.874785e-01 -169.667353 0.239304 -70.768151 
711.000010 8.784588e-01 179.100107 0.247035 -81.997743 
712.000010 8.797600e-01 167.926980 0.245920 -93.348363 
713.000010 8.913515e-01 156.715381 0.235984 -104.921179 
714.000010 9.126564e-01 145.371381 0.217723 -116.832291 
715.000010 9.424404e-01 133.812975 0.192194 -129.209815 
716.000010 9.786639e-01 121.979010 0.161145 -142.196287 
717.000010 1.018413e+00 109.838421 0.127074 -155.961947 
718.000010 1.058070e+00 97.397610 0.093083 -170.742091 
719.000010 1.093838e+00 84.702423 0.062425 173.073520 
720.000010 1.122572e+00 71.831332 0.037795 154.744251 
721.000010 1.142612e+00 58.879123 0.020618 132.804927 
722.000010 1.154184e+00 45.934881 0.010699 104.789728 
723.000010 1.159146e+00 33.061409 0.006447 69.650133 
724.000010 1.160189e+00 20.282756 0.005552 34.741798 
725.000010 1.159875e+00 7.582782 0.005821 9.579425 
726.000010 1.159816e+00 -5.086315 0.005872 -4.181593 
727.000010 1.160152e+00 -17.788476 0.005584 -6.354622 
728.000010 1.159357e+00 -30.584215 0.006266 2.632853 
729.000010 1.154418e+00 -43.509678 0.010499 13.501088 
730.000010 1.141496e+00 -56.557978 0.021575 16.667381 
731.000010 1.117096e+00 -69.668385 0.042489 12.881546 
732.000010 1.079469e+00 -82.729586 0.074741 5.229788 
733.000010 1.029595e+00 -95.599590 0.117490 -4.344842 
