lamda	 DiffPhase
700.030010 -1.014684e-03 
700.060010 -9.973142e-04 
700.090010 -4.667968e-04 
700.120010 -3.760688e-04 
700.150010 -6.092986e-04 
700.180010 -1.183785e-03 
700.210010 5.620697e-03 
700.240010 -3.978410e-04 
700.270010 -4.135337e-04 
700.300010 -8.219162e-04 
700.330010 -1.150212e-03 
700.360010 -5.602464e-04 
700.390010 -3.717689e-04 
700.420010 -4.973918e-04 
700.450010 -1.063726e-03 
700.480010 5.428338e-03 
700.510010 -4.470450e-04 
700.540010 -3.803335e-04 
700.570010 -6.465547e-04 
700.600010 -1.193897e-03 
700.630010 -7.040105e-04 
700.660010 -3.891831e-04 
700.690010 -4.253181e-04 
700.720010 -8.687711e-04 
700.750010 -1.119390e-03 
700.780010 5.837252e-03 
700.810010 -3.703823e-04 
700.840010 -5.182455e-04 
700.870010 -1.098196e-03 
700.900010 -8.974954e-04 
700.930010 -4.332828e-04 
700.960010 -3.846931e-04 
700.990010 -6.777471e-04 
701.020010 -1.194940e-03 
701.050010 5.699647e-03 
701.080010 -3.835079e-04 
701.110010 -4.354073e-04 
701.140010 -9.044852e-04 
701.170010 -1.091935e-03 
701.200010 -5.144830e-04 
701.230010 -3.699651e-04 
701.260010 -5.349360e-04 
701.290010 -1.120370e-03 
701.320010 5.505781e-03 
701.350010 -4.241064e-04 
701.380010 -3.883277e-04 
701.410010 -7.010148e-04 
701.440010 -1.191857e-03 
701.470010 -6.484567e-04 
701.500010 -3.799425e-04 
701.530010 -4.428314e-04 
701.560010 -9.284391e-04 
701.590010 5.299059e-03 
701.620010 -5.025913e-04 
701.650010 -3.698719e-04 
701.680010 -5.462071e-04 
701.710010 -1.132702e-03 
701.740010 -8.437216e-04 
701.770010 -4.185876e-04 
701.800010 -3.906229e-04 
701.830010 -7.150826e-04 
701.860010 -1.188208e-03 
701.890010 5.734732e-03 
701.920010 -3.779134e-04 
701.950010 -4.468764e-04 
701.980010 -9.406179e-04 
702.010010 -1.059715e-03 
702.040010 -4.965538e-04 
702.070010 -3.696816e-04 
702.100010 -5.512087e-04 
702.130010 -1.137078e-03 
702.160010 5.536007e-03 
702.190010 -4.161797e-04 
702.220010 -3.911943e-04 
702.250010 -7.192451e-04 
702.280010 -1.186071e-03 
702.310010 -6.317946e-04 
702.340010 -3.771066e-04 
702.370010 -4.471422e-04 
702.400010 -9.411793e-04 
702.430010 5.312653e-03 
702.460010 -4.958929e-04 
702.490010 -3.691924e-04 
702.520010 -5.495573e-04 
702.550010 -1.134405e-03 
702.580010 -8.366257e-04 
702.610010 -4.166657e-04 
702.640010 -3.899062e-04 
702.670010 -7.133100e-04 
702.700010 -1.186065e-03 
702.730010 5.733982e-03 
702.760010 -3.774475e-04 
702.790010 -4.435748e-04 
702.820010 -9.301892e-04 
702.850010 -1.065644e-03 
702.880010 -5.005753e-04 
702.910010 -3.684210e-04 
702.940010 -5.413598e-04 
702.970010 -1.124459e-03 
703.000010 5.520152e-03 
703.030010 -4.201361e-04 
703.060010 -3.868774e-04 
703.090010 -6.975695e-04 
703.120010 -1.187371e-03 
703.150010 -6.500075e-04 
703.180010 -3.790944e-04 
703.210010 -4.364687e-04 
703.240010 -9.075915e-04 
703.270010 5.287947e-03 
703.300010 -5.110067e-04 
703.330010 -3.675989e-04 
703.360010 -5.272030e-04 
703.390010 -1.105934e-03 
703.420010 -8.755834e-04 
703.450010 -4.269943e-04 
703.480010 -3.824716e-04 
703.510010 -6.728210e-04 
703.540010 -1.187724e-03 
703.570010 5.697207e-03 
703.600010 -3.824443e-04 
703.630010 -4.264389e-04 
703.660010 -8.734159e-04 
703.690010 -1.106554e-03 
703.720010 -5.280621e-04 
703.750010 -3.671690e-04 
703.780010 -5.081097e-04 
703.810010 -1.076715e-03 
703.840010 5.457920e-03 
703.870010 -4.379907e-04 
703.900010 -3.772736e-04 
703.930010 -6.404133e-04 
703.960010 -1.183414e-03 
703.990010 -7.074298e-04 
704.020010 -3.881527e-04 
704.050010 -4.143659e-04 
704.080010 -8.281693e-04 
704.110010 -1.134577e-03 
704.140010 5.817297e-03 
704.170010 -3.677845e-04 
704.200010 -4.854568e-04 
704.230010 -1.034434e-03 
704.260010 -9.604844e-04 
704.290010 -4.542910e-04 
704.320010 -3.720603e-04 
704.350010 -6.022478e-04 
704.380010 -1.169437e-03 
704.410010 5.616289e-03 
704.440010 -3.971770e-04 
704.470010 -4.013251e-04 
704.500010 -7.732745e-04 
704.530010 -1.161428e-03 
704.560010 -5.882762e-04 
704.590010 -3.703222e-04 
704.620010 -4.608557e-04 
704.650010 -9.773753e-04 
704.680010 5.353176e-03 
704.710010 -4.775891e-04 
704.740010 -3.677777e-04 
704.770010 -5.606743e-04 
704.800010 -1.140013e-03 
704.830010 -8.148133e-04 
704.860010 -4.108584e-04 
704.890010 -3.885155e-04 
704.920010 -7.113345e-04 
704.950010 -1.179796e-03 
704.980010 5.734352e-03 
705.010010 -3.759221e-04 
705.040010 -4.360133e-04 
705.070010 -9.056264e-04 
705.100010 -1.077930e-03 
705.130010 -5.102679e-04 
705.160010 -3.655375e-04 
705.190010 -5.182640e-04 
705.220010 -1.089759e-03 
705.250010 5.480893e-03 
705.280010 -4.310597e-04 
705.310010 -3.772081e-04 
705.340010 -6.459986e-04 
705.370010 -1.180502e-03 
705.400010 -6.996687e-04 
705.430010 -3.860734e-04 
705.460010 -4.126046e-04 
705.490010 -8.220486e-04 
705.520010 -1.133696e-03 
705.550010 5.814862e-03 
705.580010 -3.666547e-04 
705.610010 -4.775199e-04 
705.640010 -1.015695e-03 
705.670010 -9.753292e-04 
705.700010 -4.603839e-04 
705.730010 -3.687342e-04 
705.760010 -5.813890e-04 
705.790010 -1.153809e-03 
705.820010 5.588816e-03 
705.850010 -4.027752e-04 
705.880010 -3.921949e-04 
705.910010 -7.323114e-04 
705.940010 -1.171846e-03 
705.970010 -6.177317e-04 
706.000010 -3.727464e-04 
706.030010 -4.406309e-04 
706.060010 -9.196871e-04 
706.090010 5.307091e-03 
706.120010 -5.024785e-04 
706.150010 -3.645353e-04 
706.180010 -5.213300e-04 
706.210010 -1.092190e-03 
706.240010 -8.818656e-04 
706.270010 -4.288076e-04 
706.300010 -3.762399e-04 
706.330010 -6.435648e-04 
706.360010 -1.177370e-03 
706.390010 5.669098e-03 
706.420010 -3.859260e-04 
706.450010 -4.093604e-04 
706.480010 -8.097014e-04 
706.510010 -1.137518e-03 
706.540010 -5.623385e-04 
706.570010 -3.662970e-04 
706.600010 -4.687629e-04 
706.630010 -9.946472e-04 
706.660010 5.377136e-03 
706.690010 -4.681456e-04 
706.720010 -3.661825e-04 
706.750010 -5.623677e-04 
706.780010 -1.136849e-03 
706.810010 -8.092956e-04 
706.840010 -4.091406e-04 
706.870010 -3.851033e-04 
706.900010 -6.978447e-04 
706.930010 -1.176225e-03 
706.960010 5.724269e-03 
706.990010 -3.762023e-04 
707.020010 -4.255869e-04 
707.050010 -8.706140e-04 
707.080010 -1.097507e-03 
707.110010 -5.264758e-04 
707.140010 -3.636595e-04 
707.170010 -4.931779e-04 
707.200010 -1.044861e-03 
707.230010 5.433332e-03 
707.260010 -4.467088e-04 
707.290010 -3.690958e-04 
707.320010 -5.956853e-04 
707.350010 -1.158447e-03 
707.380010 -7.594540e-04 
707.410010 -3.973614e-04 
707.440010 -3.928973e-04 
707.470010 -7.385142e-04 
707.500010 -1.165350e-03 
707.530010 5.759041e-03 
707.560010 -3.708492e-04 
707.590010 -4.381293e-04 
707.620010 -9.113397e-04 
707.650010 -1.064897e-03 
707.680010 -5.050581e-04 
707.710010 -3.627560e-04 
707.740010 -5.105054e-04 
707.770010 -1.073247e-03 
707.800010 5.470267e-03 
707.830010 -4.345067e-04 
707.860010 -3.714583e-04 
707.890010 -6.172788e-04 
707.920010 -1.166404e-03 
707.950010 -7.306476e-04 
707.980010 -3.910330e-04 
708.010010 -3.977739e-04 
708.040010 -7.619172e-04 
708.070010 -1.155336e-03 
708.100010 5.777208e-03 
708.130010 -3.681751e-04 
708.160010 -4.448971e-04 
708.190010 -9.311258e-04 
708.220010 -1.046608e-03 
708.250010 -4.949848e-04 
708.280010 -3.622820e-04 
708.310010 -5.183237e-04 
708.340010 -1.083758e-03 
708.370010 5.486576e-03 
708.400010 -4.294941e-04 
708.430010 -3.721245e-04 
708.460010 -6.246315e-04 
708.490010 -1.167243e-03 
708.520010 -7.210216e-04 
708.550010 -3.888554e-04 
708.580010 -3.986109e-04 
708.610010 -7.663395e-04 
708.640010 -1.151818e-03 
708.670010 5.780905e-03 
708.700010 -3.673236e-04 
708.730010 -4.447396e-04 
708.760010 -9.303073e-04 
708.790010 -1.045373e-03 
708.820010 -4.948214e-04 
708.850010 -3.616374e-04 
708.880010 -5.155185e-04 
708.910010 -1.078620e-03 
708.940010 5.482188e-03 
708.970010 -4.308780e-04 
709.000010 -3.706616e-04 
709.030010 -6.169058e-04 
709.060010 -1.163261e-03 
709.090010 -7.298224e-04 
709.120010 -3.904513e-04 
709.150010 -3.951342e-04 
709.180010 -7.515299e-04 
709.210010 -1.155852e-03 
709.240010 5.770562e-03 
709.270010 -3.681805e-04 
709.300010 -4.376146e-04 
709.330010 -9.090060e-04 
709.360010 -1.061076e-03 
709.390010 -5.045912e-04 
709.420010 -3.609080e-04 
709.450010 -5.024319e-04 
709.480010 -1.057217e-03 
709.510010 5.457256e-03 
709.540010 -4.389726e-04 
709.570010 -3.673686e-04 
709.600010 -5.949541e-04 
709.630010 -1.152263e-03 
709.660010 -7.576705e-04 
709.690010 -3.963021e-04 
709.720010 -3.879430e-04 
709.750010 -7.185352e-04 
709.780010 -1.164070e-03 
709.810010 5.744931e-03 
709.840010 -3.713528e-04 
709.870010 -4.245850e-04 
709.900010 -8.671066e-04 
709.930010 -1.090776e-03 
709.960010 -5.257666e-04 
709.990010 -3.608536e-04 
710.020010 -4.808025e-04 
710.050010 -1.016475e-03 
710.080010 5.412525e-03 
710.110010 -4.552415e-04 
710.140010 -3.632435e-04 
710.170010 -5.612708e-04 
710.200010 -1.127895e-03 
710.230010 -8.062210e-04 
710.260010 -4.078052e-04 
710.290010 -3.784225e-04 
710.320010 -6.700225e-04 
710.350010 -1.168411e-03 
710.380010 5.701109e-03 
710.410010 -3.782113e-04 
710.440010 -4.076439e-04 
710.470010 -8.054971e-04 
710.500010 -1.127407e-03 
710.530010 -5.614516e-04 
710.560010 -3.629091e-04 
710.590010 -4.535005e-04 
710.620010 -9.527618e-04 
710.650010 5.351227e-03 
710.680010 -4.825363e-04 
710.710010 -3.599182e-04 
710.740010 -5.197845e-04 
710.770010 -1.081032e-03 
710.800010 -8.768312e-04 
710.830010 -4.274849e-04 
710.860010 -3.685822e-04 
710.890010 -6.106425e-04 
710.920010 -1.156086e-03 
710.950010 5.634894e-03 
710.980010 -3.910359e-04 
711.010010 -3.894201e-04 
711.040010 -7.278647e-04 
711.070010 -1.157906e-03 
711.100010 -6.166454e-04 
711.130010 -3.692498e-04 
711.160010 -4.240830e-04 
711.190010 -8.653190e-04 
711.220010 -1.087887e-03 
711.250010 5.844886e-03 
711.280010 -3.596273e-04 
711.310010 -4.753252e-04 
711.340010 -1.003299e-03 
711.370010 -9.671639e-04 
711.400010 -4.594356e-04 
711.430010 -3.609058e-04 
711.460010 -5.467245e-04 
711.490010 -1.111439e-03 
711.520010 5.542531e-03 
711.550010 -4.133637e-04 
711.580010 -3.728755e-04 
711.610010 -6.415518e-04 
711.640010 -1.162596e-03 
711.670010 -6.980479e-04 
711.700010 -3.830218e-04 
711.730010 -3.962873e-04 
711.760010 -7.598173e-04 
711.790010 -1.144976e-03 
711.820010 5.779011e-03 
711.850010 -3.653174e-04 
711.880010 -4.328284e-04 
711.910010 -8.932766e-04 
711.940010 -1.064952e-03 
711.970010 -5.100892e-04 
712.000010 -3.583333e-04 
712.030010 -4.850694e-04 
712.060010 -1.021940e-03 
712.090010 5.426170e-03 
712.120010 -4.506913e-04 
712.150010 -3.611443e-04 
712.180010 -5.561424e-04 
712.210010 -1.118774e-03 
712.240010 -8.114969e-04 
712.270010 -4.088998e-04 
712.300010 -3.736768e-04 
712.330010 -6.486505e-04 
712.360010 -1.161635e-03 
712.390010 5.680935e-03 
712.420010 -3.810516e-04 
712.450010 -3.966398e-04 
712.480010 -7.621018e-04 
712.510010 -1.141902e-03 
712.540010 -5.891253e-04 
712.570010 -3.645267e-04 
712.600010 -4.315028e-04 
712.630010 -8.889072e-04 
712.660010 -1.065955e-03 
712.690010 5.858775e-03 
712.720010 -3.576727e-04 
712.750010 -4.804447e-04 
712.780010 -1.011809e-03 
712.810010 -9.526994e-04 
712.840010 -4.542080e-04 
712.870010 -3.596517e-04 
712.900010 -5.461013e-04 
712.930010 -1.107623e-03 
712.960010 5.543653e-03 
712.990010 -4.129493e-04 
713.020010 -3.703214e-04 
713.050010 -6.307667e-04 
713.080010 -1.156592e-03 
713.110010 -7.087606e-04 
713.140010 -3.846289e-04 
713.170010 -3.901729e-04 
713.200010 -7.345577e-04 
713.230010 -1.149615e-03 
713.260010 5.761130e-03 
713.290010 -3.668374e-04 
713.320010 -4.203041e-04 
713.350010 -8.524450e-04 
713.380010 -1.089856e-03 
713.410010 -5.307306e-04 
713.440010 -3.579767e-04 
713.470010 -4.623882e-04 
713.500010 -9.717632e-04 
713.530010 5.379199e-03 
713.560010 -4.709917e-04 
713.590010 -3.571352e-04 
713.620010 -5.185342e-04 
713.650010 -1.073673e-03 
713.680010 -8.741799e-04 
713.710010 -4.268646e-04 
713.740010 -3.639803e-04 
713.770010 -5.908466e-04 
713.800010 -1.139599e-03 
713.830010 5.612289e-03 
713.860010 -3.953282e-04 
713.890010 -3.786916e-04 
713.920010 -6.803739e-04 
713.950010 -1.157947e-03 
713.980010 -6.556996e-04 
714.010010 -3.740151e-04 
714.040010 -4.019274e-04 
714.070010 -7.852099e-04 
714.100010 -1.126802e-03 
714.130010 5.798905e-03 
714.160010 -3.612432e-04 
714.190010 -4.348045e-04 
714.220010 -8.982244e-04 
714.250010 -1.053523e-03 
714.280010 -5.053765e-04 
714.310010 -3.559267e-04 
714.340010 -4.788441e-04 
714.370010 -1.006314e-03 
714.400010 5.417752e-03 
714.430010 -4.548222e-04 
714.460010 -3.574787e-04 
714.490010 -5.357978e-04 
714.520010 -1.093244e-03 
714.550010 -8.417941e-04 
714.580010 -4.171277e-04 
714.610010 -3.657373e-04 
714.640010 -6.071999e-04 
714.670010 -1.145052e-03 
714.700010 5.634866e-03 
714.730010 -3.898995e-04 
714.760010 -3.809210e-04 
714.790010 -6.934441e-04 
714.820010 -1.154186e-03 
714.850010 -6.426862e-04 
714.880010 -3.712883e-04 
714.910010 -4.036035e-04 
714.940010 -7.923146e-04 
714.970010 -1.120633e-03 
715.000010 5.804437e-03 
715.030010 -3.599697e-04 
715.060010 -4.346935e-04 
715.090010 -8.974530e-04 
715.120010 -1.051283e-03 
715.150010 -5.049448e-04 
715.180010 -3.550686e-04 
715.210010 -4.753860e-04 
715.240010 -9.980804e-04 
715.270010 5.412179e-03 
715.300010 -4.574635e-04 
715.330010 -3.560853e-04 
715.360010 -5.270326e-04 
715.390010 -1.081169e-03 
715.420010 -8.557649e-04 
715.450010 -4.212894e-04 
715.480010 -3.628382e-04 
715.510010 -5.908390e-04 
715.540010 -1.135270e-03 
715.570010 5.614420e-03 
715.600010 -3.944156e-04 
715.630010 -3.754268e-04 
715.660010 -6.672752e-04 
715.690010 -1.153546e-03 
715.720010 -6.667784e-04 
715.750010 -3.752480e-04 
715.780010 -3.942086e-04 
715.810010 -7.551448e-04 
715.840010 -1.134757e-03 
715.870010 5.779237e-03 
715.900010 -3.625994e-04 
715.930010 -4.197810e-04 
715.960010 -8.505213e-04 
715.990010 -1.082907e-03 
716.020010 -5.294297e-04 
716.050010 -3.556353e-04 
716.080010 -4.529535e-04 
716.110010 -9.462116e-04 
716.140010 5.364164e-03 
716.170010 -4.800678e-04 
716.200010 -3.538157e-04 
716.230010 -4.946847e-04 
716.260010 -1.032581e-03 
716.290010 -9.156863e-04 
716.320010 -4.412987e-04 
716.350010 -3.568464e-04 
716.380010 -5.459445e-04 
716.410010 -1.099799e-03 
716.440010 5.548586e-03 
716.470010 -4.113704e-04 
716.500010 -3.646444e-04 
716.530010 -6.074455e-04 
716.560010 -1.140317e-03 
716.590010 -7.330732e-04 
716.620010 -3.888007e-04 
716.650010 -3.773131e-04 
716.680010 -6.791935e-04 
716.710010 -1.150305e-03 
716.740010 5.716311e-03 
716.770010 -3.724171e-04 
716.800010 -3.951254e-04 
716.830010 -7.598666e-04 
716.860010 -1.129862e-03 
716.890010 -5.868204e-04 
716.920010 -3.613328e-04 
716.950010 -4.185080e-04 
716.980010 -8.461989e-04 
717.010010 -1.082598e-03 
717.040010 5.839480e-03 
717.070010 -3.549050e-04 
717.100010 -4.480184e-04 
717.130010 -9.327560e-04 
717.160010 -1.014929e-03 
717.190010 -4.854508e-04 
717.220010 -3.526940e-04 
717.250010 -4.843029e-04 
717.280010 -1.012508e-03 
717.310010 5.435523e-03 
717.340010 -4.488652e-04 
717.370010 -3.544289e-04 
717.400010 -5.280150e-04 
717.430010 -1.078191e-03 
717.460010 -8.507022e-04 
717.490010 -4.198331e-04 
717.520010 -3.599812e-04 
717.550010 -5.796737e-04 
717.580010 -1.123856e-03 
717.610010 5.601520e-03 
717.640010 -3.971593e-04 
717.670010 -3.693458e-04 
717.700010 -6.394361e-04 
717.730010 -1.145884e-03 
717.760010 -6.939633e-04 
717.790010 -3.798640e-04 
717.820010 -3.826263e-04 
717.850010 -7.067843e-04 
717.880010 -1.143264e-03 
717.910010 5.742483e-03 
717.940010 -3.671725e-04 
717.970010 -4.000221e-04 
718.000010 -7.801757e-04 
718.030010 -1.117396e-03 
718.060010 -5.714216e-04 
718.090010 -3.584896e-04 
718.120010 -4.218160e-04 
718.150010 -8.567914e-04 
718.180010 -1.071707e-03 
718.210010 5.846577e-03 
718.240010 -3.533699e-04 
718.270010 -4.483548e-04 
718.300010 -9.325716e-04 
718.330010 -1.011138e-03 
718.360010 -4.843753e-04 
718.390010 -3.514926e-04 
718.420010 -4.800215e-04 
718.450010 -1.002667e-03 
718.480010 5.429028e-03 
718.510010 -4.518951e-04 
718.540010 -3.526396e-04 
718.570010 -5.171878e-04 
718.600010 -1.062223e-03 
718.630010 -8.681575e-04 
718.660010 -4.254229e-04 
718.690010 -3.566784e-04 
718.720010 -5.601426e-04 
718.750010 -1.107204e-03 
718.780010 5.574388e-03 
718.810010 -4.040740e-04 
718.840010 -3.635489e-04 
718.870010 -6.089879e-04 
718.900010 -1.134939e-03 
718.930010 -7.284332e-04 
718.960010 -3.871027e-04 
718.990010 -3.732526e-04 
719.020010 -6.635034e-04 
719.050010 -1.144307e-03 
719.080010 5.703250e-03 
719.110010 -3.738979e-04 
719.140010 -3.858432e-04 
719.170010 -7.229948e-04 
719.200010 -1.135642e-03 
719.230010 -6.131079e-04 
719.260010 -3.639672e-04 
719.290010 -4.014181e-04 
719.320010 -7.861622e-04 
719.350010 -1.110523e-03 
719.380010 5.804285e-03 
719.410010 -3.569195e-04 
719.440010 -4.201091e-04 
719.470010 -8.510462e-04 
719.500010 -1.071521e-03 
719.530010 -5.258943e-04 
719.560010 -3.524475e-04 
719.590010 -4.420709e-04 
719.620010 -9.151108e-04 
719.650010 5.348546e-03 
719.680010 -4.916498e-04 
719.710010 -3.503136e-04 
719.740010 -4.674664e-04 
719.770010 -9.754829e-04 
719.800010 -9.652518e-04 
719.830010 -4.627101e-04 
719.860010 -3.503366e-04 
719.890010 -4.964465e-04 
719.920010 -1.029303e-03 
719.950010 5.465344e-03 
719.980010 -4.383877e-04 
720.010010 -3.523821e-04 
720.040010 -5.291234e-04 
720.070010 -1.074087e-03 
720.100010 -8.445261e-04 
720.130010 -4.180618e-04 
720.160010 -3.563536e-04 
720.190010 -5.655370e-04 
