lamdapeak	 Rpeak
700.120010 0.715225 
700.270010 0.723671 
700.420010 0.707784 
700.540010 0.719102 
700.690010 0.722489 
700.840010 0.702069 
700.960010 0.721330 
701.110010 0.720952 
701.230010 0.702882 
701.380010 0.722511 
701.530010 0.719560 
701.650010 0.705818 
701.800010 0.723063 
701.950010 0.718670 
702.070010 0.707172 
702.220010 0.723237 
702.370010 0.718480 
702.490010 0.707128 
702.640010 0.723128 
702.790010 0.719030 
702.910010 0.705681 
703.060010 0.722677 
703.210010 0.720199 
703.330010 0.702644 
703.480010 0.721670 
703.630010 0.721710 
703.780010 0.703166 
703.900010 0.719734 
704.050010 0.723141 
704.200010 0.708943 
704.320010 0.716323 
704.470010 0.723927 
704.620010 0.714731 
704.740010 0.710686 
704.890010 0.723358 
705.040010 0.719745 
705.160010 0.701809 
705.310010 0.720555 
705.460010 0.723106 
705.610010 0.710281 
705.730010 0.714399 
705.880010 0.723814 
706.030010 0.718552 
706.150010 0.703410 
706.300010 0.720670 
706.450010 0.723281 
706.600010 0.712009 
706.720010 0.712120 
706.870010 0.723248 
707.020010 0.721012 
707.170010 0.705388 
707.290010 0.716861 
707.440010 0.723923 
707.590010 0.718537 
707.710010 0.701815 
707.860010 0.719175 
708.010010 0.723891 
708.160010 0.716925 
708.280010 0.704313 
708.430010 0.719949 
708.580010 0.723828 
708.730010 0.716751 
708.850010 0.704048 
709.000010 0.719519 
709.150010 0.723919 
709.300010 0.718070 
709.450010 0.701551 
709.570010 0.717703 
709.720010 0.723860 
709.870010 0.720418 
710.020010 0.707262 
710.140010 0.713784 
710.290010 0.722855 
710.440010 0.722844 
710.590010 0.714004 
710.710010 0.706452 
710.860010 0.719603 
711.010010 0.723944 
711.160010 0.720145 
711.310010 0.708091 
711.430010 0.712193 
711.580010 0.721849 
711.730010 0.723718 
711.880010 0.718196 
712.030010 0.705043 
712.150010 0.714048 
712.300010 0.722340 
712.450010 0.723627 
712.600010 0.718232 
712.750010 0.705955 
712.870010 0.712876 
713.020010 0.721581 
713.170010 0.723906 
713.320010 0.720227 
713.470010 0.710493 
713.590010 0.708148 
713.740010 0.718829 
713.890010 0.723580 
714.040010 0.722906 
714.190010 0.716960 
714.340010 0.705573 
714.460010 0.712024 
714.610010 0.720458 
714.760010 0.723839 
714.910010 0.722540 
715.060010 0.716667 
715.210010 0.706094 
715.330010 0.710944 
715.480010 0.719409 
715.630010 0.723457 
715.780010 0.723454 
715.930010 0.719562 
716.080010 0.711772 
716.200010 0.704252 
716.350010 0.714619 
716.500010 0.720982 
716.650010 0.723766 
716.800010 0.723231 
716.950010 0.719506 
717.100010 0.712602 
717.250010 0.702424 
717.370010 0.712278 
717.520010 0.719070 
717.670010 0.722870 
717.820010 0.723936 
717.970010 0.722435 
718.120010 0.718451 
718.270010 0.712001 
718.420010 0.703043 
718.540010 0.710954 
718.690010 0.717474 
718.840010 0.721640 
718.990010 0.723675 
719.140010 0.723742 
719.290010 0.721954 
719.440010 0.718383 
719.590010 0.713066 
719.740010 0.706011 
719.860010 0.707330 
720.010010 0.713847 
720.160010 0.718598 
720.310010 0.721768 
720.460010 0.723505 
720.610010 0.723932 
720.760010 0.723143 
720.910010 0.721215 
721.060010 0.718209 
721.210010 0.714174 
721.360010 0.709149 
721.510010 0.703166 
721.630010 0.708412 
721.780010 0.713230 
721.930010 0.717014 
722.080010 0.719878 
722.230010 0.721917 
722.380010 0.723218 
722.530010 0.723855 
722.680010 0.723896 
722.830010 0.723398 
722.980010 0.722419 
723.130010 0.721006 
723.280010 0.719209 
723.430010 0.717071 
723.580010 0.714634 
723.730010 0.711940 
723.880010 0.709029 
724.030010 0.705939 
724.150010 0.703528 
724.300010 0.706556 
724.450010 0.709172 
724.600010 0.711424 
724.750010 0.713354 
724.900010 0.715002 
725.050010 0.716400 
725.200010 0.717580 
725.350010 0.718570 
725.500010 0.719395 
725.650010 0.720077 
725.800010 0.720634 
725.950010 0.721085 
726.100010 0.721445 
726.250010 0.721725 
726.400010 0.721936 
726.550010 0.722087 
726.700010 0.722182 
726.850010 0.722228 
727.000010 0.722224 
727.150010 0.722172 
727.300010 0.722069 
727.450010 0.721911 
727.600010 0.721692 
727.750010 0.721403 
727.900010 0.721033 
728.050010 0.720570 
728.200010 0.720000 
728.350010 0.719305 
728.500010 0.718466 
728.650010 0.717460 
728.800010 0.716264 
728.950010 0.714849 
729.100010 0.713186 
729.250010 0.711240 
729.400010 0.708975 
729.550010 0.706347 
729.730010 0.704226 
729.880010 0.707370 
730.030010 0.710359 
730.180010 0.713154 
730.330010 0.715718 
730.480010 0.718010 
730.630010 0.719992 
730.780010 0.721622 
730.930010 0.722855 
731.080010 0.723647 
731.230010 0.723946 
731.380010 0.723701 
731.530010 0.722850 
731.680010 0.721329 
731.830010 0.719063 
731.980010 0.715968 
732.130010 0.711946 
732.280010 0.706887 
732.460010 0.707206 
732.610010 0.712488 
732.760010 0.716820 
732.910010 0.720169 
733.060010 0.722493 
733.210010 0.723741 
733.360010 0.723849 
733.510010 0.722733 
733.660010 0.720294 
733.810010 0.716406 
733.960010 0.710911 
734.140010 0.704911 
734.290010 0.712076 
734.440010 0.717569 
734.590010 0.721389 
734.740010 0.723507 
734.890010 0.723866 
735.040010 0.722371 
735.190010 0.718884 
735.340010 0.713217 
735.490010 0.705117 
735.670010 0.712327 
735.820010 0.718548 
735.970010 0.722420 
736.120010 0.723928 
736.270010 0.722998 
736.420010 0.719484 
736.570010 0.713154 
736.750010 0.705416 
736.900010 0.714516 
737.050010 0.720542 
737.200010 0.723566 
737.350010 0.723560 
737.500010 0.720392 
737.650010 0.713808 
737.830010 0.705900 
737.980010 0.715617 
738.130010 0.721588 
738.280010 0.723913 
738.430010 0.722549 
738.580010 0.717288 
738.730010 0.707737 
738.910010 0.713407 
739.060010 0.720777 
739.210010 0.723846 
739.360010 0.722609 
739.510010 0.716847 
739.660010 0.706088 
739.840010 0.715435 
739.990010 0.722127 
740.140010 0.723900 
740.290010 0.720691 
740.440010 0.712137 
740.620010 0.711085 
740.770010 0.720291 
740.920010 0.723885 
741.070010 0.721921 
741.220010 0.714092 
741.400010 0.709707 
741.550010 0.719934 
741.700010 0.723884 
741.850010 0.721656 
742.000010 0.712898 
742.180010 0.711867 
742.330010 0.721313 
742.480010 0.723901 
742.630010 0.719643 
742.780010 0.707991 
742.960010 0.716646 
743.110010 0.723343 
743.260010 0.722630 
743.410010 0.714241 
743.590010 0.711804 
743.740010 0.721788 
743.890010 0.723668 
744.040010 0.717408 
744.220010 0.708246 
744.370010 0.720487 
744.520010 0.723902 
744.670010 0.718616 
744.850010 0.706908 
745.000010 0.720155 
745.150010 0.723908 
745.300010 0.718346 
745.480010 0.708118 
745.630010 0.720950 
745.780010 0.723713 
745.930010 0.716493 
746.110010 0.711569 
746.260010 0.722473 
746.410010 0.722803 
746.560010 0.712359 
746.740010 0.716353 
746.890010 0.723787 
747.040010 0.720109 
747.220010 0.706702 
747.370010 0.721055 
747.520010 0.723443 
747.670010 0.713940 
747.850010 0.715875 
748.000010 0.723819 
748.150010 0.719422 
748.330010 0.709334 
748.480010 0.722365 
748.630010 0.722317 
748.780010 0.708914 
748.960010 0.719993 
749.110010 0.723583 
749.260010 0.713470 
749.440010 0.717443 
749.590010 0.723937 
749.740010 0.716226 
749.920010 0.715299 
750.070010 0.723897 
750.220010 0.717708 
750.400010 0.713976 
750.550010 0.723801 
750.700010 0.718228 
750.880010 0.713710 
751.030010 0.723810 
751.180010 0.717903 
751.360010 0.714546 
751.510010 0.723912 
751.660010 0.716662 
751.840010 0.716335 
751.990010 0.723920 
752.140010 0.714245 
752.320010 0.718744 
752.470010 0.723474 
752.620010 0.710187 
752.800010 0.721273 
752.950010 0.722039 
753.130010 0.708527 
753.280010 0.723269 
753.430010 0.718884 
753.610010 0.715119 
753.760010 0.723924 
753.910010 0.713041 
754.090010 0.720487 
754.240010 0.722259 
754.420010 0.709241 
754.570010 0.723594 
754.720010 0.717044 
754.900010 0.718093 
755.050010 0.723251 
755.200010 0.706660 
755.380010 0.723202 
755.530010 0.717977 
755.710010 0.717719 
755.860010 0.723228 
756.040010 0.707271 
756.190010 0.723517 
756.340010 0.716414 
756.520010 0.719586 
756.670010 0.722155 
756.850010 0.711943 
757.000010 0.723947 
757.150010 0.711439 
757.330010 0.722492 
757.480010 0.718607 
757.660010 0.718330 
757.810010 0.722547 
757.990010 0.711896 
758.140010 0.723927 
758.290010 0.709617 
758.470010 0.723278 
758.620010 0.715934 
758.800010 0.721041 
758.950010 0.720069 
759.130010 0.717597 
759.280010 0.722521 
759.460010 0.713291 
759.610010 0.723696 
759.790010 0.708441 
759.940010 0.723935 
760.090010 0.710102 
760.270010 0.723527 
760.420010 0.713689 
760.600010 0.722721 
760.750010 0.716281 
760.930010 0.721726 
761.080010 0.718109 
761.260010 0.720720 
761.410010 0.719352 
761.590010 0.719846 
761.740010 0.720145 
761.920010 0.719211 
762.070010 0.720581 
762.250010 0.718887 
762.400010 0.720718 
762.580010 0.718909 
762.730010 0.720572 
762.910010 0.719273 
763.060010 0.720126 
763.240010 0.719941 
763.390010 0.719323 
763.570010 0.720835 
763.720010 0.718070 
763.900010 0.721844 
764.050010 0.716233 
764.230010 0.722823 
764.380010 0.713636 
764.560010 0.723593 
764.710010 0.710053 
764.890010 0.723945 
765.070010 0.709372 
765.220010 0.723631 
765.400010 0.714110 
765.550010 0.722368 
765.730010 0.718255 
765.880010 0.719820 
766.060010 0.721494 
766.210010 0.715589 
766.390010 0.723489 
766.540010 0.709188 
766.720010 0.723867 
766.900010 0.713524 
767.050010 0.722194 
767.230010 0.719422 
767.380010 0.717952 
767.560010 0.723016 
767.710010 0.710484 
767.890010 0.723877 
768.070010 0.714344 
768.220010 0.721473 
768.400010 0.720954 
768.550010 0.715103 
768.730010 0.723855 
768.910010 0.711138 
769.060010 0.722525 
769.240010 0.719920 
769.390010 0.716207 
769.570010 0.723797 
769.750010 0.711291 
769.900010 0.722257 
770.080010 0.720730 
770.230010 0.714418 
770.410010 0.723947 
770.590010 0.714724 
770.740010 0.720354 
770.920010 0.722748 
771.070010 0.708775 
771.250010 0.723141 
771.430010 0.719822 
771.580010 0.715021 
771.760010 0.723941 
771.940010 0.716129 
772.090010 0.718778 
772.270010 0.723639 
772.450010 0.712474 
772.600010 0.720905 
772.780010 0.722914 
772.960010 0.709502 
773.110010 0.722001 
773.290010 0.722251 
773.440010 0.708488 
773.620010 0.722450 
773.800010 0.721955 
773.950010 0.708951 
774.130010 0.722437 
774.310010 0.722141 
774.490010 0.708373 
774.640010 0.721958 
774.820010 0.722737 
775.000010 0.710774 
775.150010 0.720819 
775.330010 0.723482 
775.510010 0.714122 
775.660010 0.718631 
775.840010 0.723940 
776.020010 0.717867 
776.170010 0.714795 
776.350010 0.723489 
776.530010 0.721297 
776.680010 0.708461 
776.860010 0.721319 
777.040010 0.723560 
777.220010 0.715755 
777.370010 0.716380 
777.550010 0.723642 
777.730010 0.721363 
777.910010 0.709585 
778.060010 0.720308 
778.240010 0.723910 
778.420010 0.718751 
778.570010 0.711966 
778.750010 0.722015 
778.930010 0.723556 
779.110010 0.717006 
779.260010 0.713885 
779.440010 0.722529 
779.620010 0.723397 
779.800010 0.716823 
779.950010 0.713658 
780.130010 0.722236 
780.310010 0.723653 
780.490010 0.718266 
780.640010 0.711218 
780.820010 0.720915 
781.000010 0.723947 
781.180010 0.720771 
781.360010 0.711389 
781.510010 0.717726 
781.690010 0.723317 
781.870010 0.723188 
782.050010 0.717548 
782.200010 0.711144 
782.380010 0.720194 
782.560010 0.723827 
782.740010 0.722467 
782.920010 0.716238 
783.070010 0.712279 
783.250010 0.720405 
783.430010 0.723792 
783.610010 0.722810 
783.790010 0.717598 
783.940010 0.709773 
784.120010 0.718537 
784.300010 0.723073 
784.480010 0.723768 
784.660010 0.720827 
784.840010 0.714299 
784.990010 0.713208 
785.170010 0.720055 
785.350010 0.723445 
785.530010 0.723669 
785.710010 0.720893 
785.890010 0.715175 
786.040010 0.711504 
786.220010 0.718461 
786.400010 0.722516 
786.580010 0.723941 
786.760010 0.722919 
786.940010 0.719561 
787.120010 0.713913 
787.270010 0.712095 
787.450010 0.718170 
787.630010 0.721988 
787.810010 0.723767 
787.990010 0.723670 
788.170010 0.721815 
788.350010 0.718282 
788.530010 0.713120 
788.680010 0.711980 
788.860010 0.717264 
789.040010 0.720910 
789.220010 0.723085 
789.400010 0.723928 
789.580010 0.723549 
789.760010 0.722038 
789.940010 0.719470 
790.120010 0.715905 
790.300010 0.711395 
790.450010 0.712513 
790.630010 0.716576 
790.810010 0.719638 
790.990010 0.721809 
791.170010 0.723186 
791.350010 0.723855 
791.530010 0.723889 
791.710010 0.723357 
791.890010 0.722320 
792.070010 0.720835 
792.250010 0.718954 
792.430010 0.716728 
792.610010 0.714204 
792.790010 0.711428 
792.940010 0.710769 
793.120010 0.713377 
793.300010 0.715563 
793.480010 0.717380 
793.660010 0.718876 
793.840010 0.720094 
794.020010 0.721073 
794.200010 0.721848 
794.380010 0.722452 
794.560010 0.722911 
794.740010 0.723253 
794.920010 0.723499 
795.100010 0.723671 
795.280010 0.723786 
795.460010 0.723858 
795.640010 0.723901 
795.820010 0.723924 
796.000010 0.723936 
796.180010 0.723940 
796.360010 0.723941 
796.540010 0.723937 
796.720010 0.723928 
796.900010 0.723909 
797.080010 0.723873 
797.260010 0.723810 
797.440010 0.723710 
797.620010 0.723557 
797.800010 0.723335 
797.980010 0.723025 
798.160010 0.722605 
798.340010 0.722052 
798.520010 0.721337 
798.700010 0.720432 
798.880010 0.719302 
799.060010 0.717912 
799.240010 0.716220 
799.420010 0.714182 
799.600010 0.711748 
799.810010 0.711336 
799.990010 0.714095 
800.170010 0.716607 
800.350010 0.718829 
800.530010 0.720714 
800.710010 0.722215 
800.890010 0.723281 
801.070010 0.723859 
801.250010 0.723890 
801.430010 0.723311 
801.610010 0.722051 
801.790010 0.720031 
801.970010 0.717162 
802.150010 0.713340 
802.360010 0.712045 
802.540010 0.716372 
802.720010 0.719777 
802.900010 0.722209 
803.080010 0.723612 
803.260010 0.723916 
803.440010 0.723034 
803.620010 0.720863 
803.800010 0.717274 
803.980010 0.712109 
804.190010 0.714782 
804.370010 0.719399 
804.550010 0.722439 
804.730010 0.723851 
804.910010 0.723556 
805.090010 0.721436 
805.270010 0.717331 
805.450010 0.711031 
805.660010 0.716731 
805.840010 0.721272 
806.020010 0.723616 
806.200010 0.723699 
806.380010 0.721397 
806.560010 0.716515 
806.770010 0.712324 
806.950010 0.718988 
807.130010 0.722860 
807.310010 0.723924 
807.490010 0.722076 
807.670010 0.717107 
807.880010 0.712535 
808.060010 0.719638 
808.240010 0.723348 
808.420010 0.723657 
808.600010 0.720425 
808.780010 0.713357 
808.990010 0.717203 
809.170010 0.722533 
809.350010 0.723897 
809.530010 0.721195 
809.710010 0.714126 
809.920010 0.717194 
810.100010 0.722755 
810.280010 0.723771 
810.460010 0.720121 
810.640010 0.711420 
810.850010 0.719609 
811.030010 0.723713 
811.210010 0.722681 
811.390010 0.716263 
811.600010 0.716399 
811.780010 0.722824 
811.960010 0.723552 
812.140010 0.718435 
812.350010 0.714464 
812.530010 0.722241 
812.710010 0.723734 
812.890010 0.718845 
813.100010 0.714490 
813.280010 0.722452 
813.460010 0.723558 
813.640010 0.717683 
813.850010 0.716464 
814.030010 0.723289 
814.210010 0.722707 
814.390010 0.714445 
814.600010 0.719678 
814.780010 0.723942 
814.960010 0.720208 
815.170010 0.714050 
815.350010 0.722791 
815.530010 0.722972 
815.710010 0.714370 
815.920010 0.720367 
816.100010 0.723893 
816.280010 0.718254 
816.490010 0.717568 
816.670010 0.723838 
816.850010 0.720439 
817.060010 0.715109 
817.240010 0.723443 
817.420010 0.721544 
817.630010 0.713506 
817.810010 0.723132 
817.990010 0.721944 
818.200010 0.713066 
818.380010 0.723120 
818.560010 0.721793 
818.770010 0.713868 
818.950010 0.723414 
819.130010 0.721034 
819.340010 0.715760 
819.520010 0.723813 
819.700010 0.719395 
819.910010 0.718372 
820.090010 0.723914 
820.270010 0.716379 
820.480010 0.721130 
820.660010 0.723109 
820.870010 0.711811 
821.050010 0.723282 
821.230010 0.720570 
821.440010 0.717829 
821.620010 0.723896 
821.800010 0.715204 
822.010010 0.722275 
822.190010 0.721827 
822.400010 0.716419 
822.580010 0.723944 
822.760010 0.715625 
822.970010 0.722385 
823.150010 0.721396 
823.360010 0.717770 
823.540010 0.723779 
823.720010 0.712759 
823.930010 0.723474 
824.110010 0.718832 
824.320010 0.721039 
824.500010 0.722312 
824.710010 0.716945 
824.890010 0.723797 
825.070010 0.711958 
825.280010 0.723775 
825.460010 0.716783 
825.670010 0.722656 
825.850010 0.720005 
826.060010 0.720797 
826.240010 0.722029 
826.450010 0.718509 
826.630010 0.723188 
826.840010 0.716069 
827.020010 0.723750 
827.230010 0.713716 
827.410010 0.723937 
827.590010 0.712212 
827.800010 0.723923 
827.980010 0.713717 
828.190010 0.723837 
828.370010 0.714595 
828.580010 0.723768 
828.760010 0.714922 
828.970010 0.723761 
829.150010 0.714730 
829.360010 0.723821 
829.540010 0.714001 
829.750010 0.723909 
829.930010 0.712673 
830.140010 0.723945 
830.350010 0.713469 
830.530010 0.723809 
830.740010 0.715788 
830.920010 0.723336 
831.130010 0.718218 
831.310010 0.722321 
831.520010 0.720525 
831.700010 0.720510 
831.910010 0.722444 
832.090010 0.717592 
832.300010 0.723674 
832.480010 0.713194 
832.690010 0.723879 
832.900010 0.716566 
833.080010 0.722670 
833.290010 0.720736 
833.470010 0.719592 
833.680010 0.723318 
833.860010 0.714092 
834.070010 0.723867 
834.280010 0.717517 
834.460010 0.721864 
834.670010 0.722204 
834.850010 0.716662 
835.060010 0.723946 
835.270010 0.716408 
835.450010 0.722171 
835.660010 0.722208 
835.840010 0.716114 
836.050010 0.723917 
836.260010 0.718096 
836.440010 0.720878 
836.650010 0.723324 
836.860010 0.712812 
837.040010 0.723121 
837.250010 0.721501 
837.430010 0.716626 
