lamda	 Trans	 TransPhase	 Ref	 RefPhase
700.030010 4.980538e-01 107.800785 0.501946 -110.772848 
700.060010 9.997950e-01 50.460004 0.000205 11.884167 
700.090010 4.871006e-01 -5.899186 0.512899 -44.477227 
700.120010 2.847753e-01 -32.278324 0.715225 -70.858568 
700.150010 3.242190e-01 -53.530335 0.675781 -92.112782 
700.180010 6.931251e-01 -87.962390 0.306875 -126.547040 
700.210010 8.581574e-01 -154.859239 0.141843 -13.446092 
700.240010 3.720995e-01 162.771799 0.627901 -55.817256 
700.270010 2.763287e-01 140.289417 0.723671 -78.301842 
700.300010 4.004196e-01 116.920225 0.599580 -101.673235 
700.330010 9.227309e-01 70.472947 0.077269 -148.122716 
700.360010 6.262929e-01 5.473353 0.373707 -33.124512 
700.390010 3.095054e-01 -26.186713 0.690495 -64.786779 
700.420010 2.922161e-01 -47.195731 0.707784 -85.797999 
700.450010 5.346067e-01 -75.303823 0.465393 -113.908292 
700.480010 9.898229e-01 -135.415991 0.010177 5.977339 
700.510010 4.565310e-01 171.344651 0.543469 -47.264221 
700.540010 2.808981e-01 146.081703 0.719102 -72.529369 
700.570010 3.365169e-01 124.588687 0.663483 -94.024586 
700.600010 7.418407e-01 88.051255 0.258159 -130.564218 
700.630010 8.101969e-01 20.582971 0.189803 -18.034703 
700.660010 3.560731e-01 -19.201346 0.643927 -57.821220 
700.690010 2.775108e-01 -41.194462 0.722489 -79.816535 
700.720010 4.212493e-01 -65.229600 0.578751 -103.853873 
700.750010 9.558223e-01 -114.324697 0.044178 -152.951169 
700.780010 5.882272e-01 -177.582486 0.411773 -36.211158 
700.810010 3.020192e-01 152.286262 0.697981 -66.344609 
700.840010 2.979312e-01 131.355597 0.702069 -87.277473 
700.870010 5.664261e-01 102.069041 0.433574 -116.566227 
700.900010 9.719431e-01 40.008905 0.028057 1.371438 
700.930010 4.348829e-01 -10.709428 0.565117 -49.349093 
700.960010 2.786699e-01 -35.194657 0.721330 -73.836520 
700.990010 3.473519e-01 -56.934036 0.652648 -95.578098 
701.020010 7.804826e-01 -95.234182 0.219517 -133.880441 
701.050010 7.722995e-01 -162.761422 0.227700 -21.409878 
701.080010 3.450483e-01 159.331158 0.654952 -59.319496 
701.110010 2.790484e-01 137.658753 0.720952 -80.994098 
701.140010 4.386769e-01 113.053463 0.561323 -105.601585 
701.170010 9.755150e-01 61.940127 0.024485 -156.717118 
701.200010 5.614491e-01 0.233830 0.438551 -38.425611 
701.230010 2.971175e-01 -28.840103 0.702882 -67.501741 
701.260010 3.028060e-01 -49.747189 0.697194 -88.411023 
701.290010 5.915423e-01 -79.976938 0.408458 -118.642968 
701.320010 9.538660e-01 -143.290138 0.046134 -1.958365 
701.350010 4.203597e-01 167.846886 0.579640 -50.823536 
701.380010 2.774887e-01 143.880220 0.722511 -74.792397 
701.410010 3.558451e-01 121.935448 0.644155 -96.739365 
701.440010 8.079913e-01 82.320425 0.192009 -136.356583 
701.470010 7.456278e-01 14.967450 0.254372 -23.711753 
701.500010 3.379642e-01 -21.677466 0.662036 -60.358864 
701.530010 2.804396e-01 -43.148385 0.719560 -81.831977 
701.560010 4.514598e-01 -68.173214 0.548540 -106.859001 
701.590010 9.858109e-01 -120.640206 0.014189 -159.328187 
701.620010 5.444009e-01 178.814768 0.455599 -39.875407 
701.650010 2.941819e-01 150.412848 0.705818 -68.279521 
701.680010 3.062987e-01 129.511028 0.693701 -89.183534 
701.710010 6.084789e-01 98.644333 0.391521 -120.052423 
701.740010 9.404499e-01 34.634245 0.059550 -4.064704 
701.770010 4.117626e-01 -13.045279 0.588237 -51.746421 
701.800010 2.769371e-01 -36.700067 0.723063 -75.403402 
701.830010 3.612996e-01 -58.774546 0.638700 -97.480073 
701.860010 8.242056e-01 -99.184556 0.175794 -137.892276 
701.890010 7.302294e-01 -166.331313 0.269771 -25.041225 
701.920010 3.341474e-01 157.743944 0.665853 -60.968160 
701.950010 2.813301e-01 136.387691 0.718670 -82.326606 
701.980010 4.586749e-01 111.134270 0.541325 -107.582218 
702.010010 9.901522e-01 57.979045 0.009848 -160.739635 
702.040010 5.360002e-01 -1.906504 0.464000 -40.627375 
702.070010 2.928278e-01 -29.967239 0.707172 -68.690302 
702.100010 3.080341e-01 -50.858303 0.691966 -89.583556 
702.130010 6.163091e-01 -82.007639 0.383691 -120.735084 
702.160010 9.342811e-01 -146.265019 0.065719 -4.994654 
702.190010 4.083871e-01 166.580123 0.591613 -52.151703 
702.220010 2.767631e-01 143.061405 0.723237 -75.672611 
702.250010 3.632653e-01 120.954636 0.636735 -97.781570 
702.280010 8.293307e-01 80.309401 0.170669 -138.428995 
702.310010 7.258894e-01 13.283384 0.274111 -25.457202 
702.340010 3.332361e-01 -22.419943 0.666764 -61.162718 
702.370010 2.815202e-01 -43.730603 0.718480 -82.475568 
702.400010 4.598026e-01 -68.999045 0.540197 -107.746198 
702.430010 9.905417e-01 -122.185996 0.009458 -160.935339 
702.460010 5.356893e-01 178.037188 0.464311 -40.714343 
702.490010 2.928724e-01 150.013802 0.707128 -68.739918 
702.520010 3.078301e-01 129.150380 0.692170 -89.605528 
702.550010 6.146362e-01 98.094364 0.385364 -120.663733 
702.580010 9.363262e-01 33.988020 0.063674 -4.772264 
702.610010 4.099536e-01 -13.290507 0.590046 -52.052979 
702.640010 2.768719e-01 -36.836690 0.723128 -75.601350 
702.670010 3.615833e-01 -58.870666 0.638417 -97.637513 
702.700010 8.234968e-01 -99.180507 0.176503 -137.949541 
702.730010 7.325057e-01 -166.206168 0.267494 -24.977390 
702.760010 3.351403e-01 157.826710 0.664860 -60.946699 
702.790010 2.809701e-01 136.496789 0.719030 -82.278807 
702.820010 4.547710e-01 111.429949 0.545229 -107.347832 
702.850010 9.871906e-01 58.864057 0.012809 -159.915911 
702.880010 5.434333e-01 -1.356517 0.456567 -40.138671 
702.910010 2.943188e-01 -29.644511 0.705681 -68.428851 
