lamda, Trans, TransPhase, Ref, RefPhase
700.03001,0.4980538,107.800785,0.501946,-110.772848
700.06001,0.999795,50.460004,0.000205,11.884167
700.09001,0.4871006,-5.899186,0.512899,-44.477227
700.12001,0.2847753,-32.278324,0.715225,-70.858568
700.15001,0.324219,-53.530335,0.675781,-92.112782
700.18001,0.6931251,-87.96239,0.306875,-126.54704
700.21001,0.8581574,-154.859239,0.141843,-13.446092
700.24001,0.3720995,162.771799,0.627901,-55.817256
700.27001,0.2763287,140.289417,0.723671,-78.301842
700.30001,0.4004196,116.920225,0.59958,-101.673235
700.33001,0.9227309,70.472947,0.077269,-148.122716
700.36001,0.6262929,5.473353,0.373707,-33.124512
700.39001,0.3095054,-26.186713,0.690495,-64.786779
700.42001,0.2922161,-47.195731,0.707784,-85.797999
700.45001,0.5346067,-75.303823,0.465393,-113.908292
700.48001,0.9898229,-135.415991,0.010177,5.977339
700.51001,0.456531,171.344651,0.543469,-47.264221
700.54001,0.2808981,146.081703,0.719102,-72.529369
700.57001,0.3365169,124.588687,0.663483,-94.024586
700.60001,0.7418407,88.051255,0.258159,-130.564218
700.63001,0.8101969,20.582971,0.189803,-18.034703
700.66001,0.3560731,-19.201346,0.643927,-57.82122
700.69001,0.2775108,-41.194462,0.722489,-79.816535
700.72001,0.4212493,-65.2296,0.578751,-103.853873
700.75001,0.9558223,-114.324697,0.044178,-152.951169
700.78001,0.5882272,-177.582486,0.411773,-36.211158
700.81001,0.3020192,152.286262,0.697981,-66.344609
700.84001,0.2979312,131.355597,0.702069,-87.277473
700.87001,0.5664261,102.069041,0.433574,-116.566227
700.90001,0.9719431,40.008905,0.028057,1.371438
700.93001,0.4348829,-10.709428,0.565117,-49.349093
700.96001,0.2786699,-35.194657,0.72133,-73.83652
700.99001,0.3473519,-56.934036,0.652648,-95.578098
701.02001,0.7804826,-95.234182,0.219517,-133.880441
701.05001,0.7722995,-162.761422,0.2277,-21.409878
701.08001,0.3450483,159.331158,0.654952,-59.319496
701.11001,0.2790484,137.658753,0.720952,-80.994098
701.14001,0.4386769,113.053463,0.561323,-105.601585
701.17001,0.975515,61.940127,0.024485,-156.717118
701.20001,0.5614491,0.23383,0.438551,-38.425611
701.23001,0.2971175,-28.840103,0.702882,-67.501741
701.26001,0.302806,-49.747189,0.697194,-88.411023
701.29001,0.5915423,-79.976938,0.408458,-118.642968
701.32001,0.953866,-143.290138,0.046134,-1.958365
701.35001,0.4203597,167.846886,0.57964,-50.823536
701.38001,0.2774887,143.88022,0.722511,-74.792397
701.41001,0.3558451,121.935448,0.644155,-96.739365
701.44001,0.8079913,82.320425,0.192009,-136.356583
701.47001,0.7456278,14.96745,0.254372,-23.711753
701.50001,0.3379642,-21.677466,0.662036,-60.358864
701.53001,0.2804396,-43.148385,0.71956,-81.831977
701.56001,0.4514598,-68.173214,0.54854,-106.859001
701.59001,0.9858109,-120.640206,0.014189,-159.328187
701.62001,0.5444009,178.814768,0.455599,-39.875407
701.65001,0.2941819,150.412848,0.705818,-68.279521
701.68001,0.3062987,129.511028,0.693701,-89.183534
701.71001,0.6084789,98.644333,0.391521,-120.052423
701.74001,0.9404499,34.634245,0.05955,-4.064704
701.77001,0.4117626,-13.045279,0.588237,-51.746421
701.80001,0.2769371,-36.700067,0.723063,-75.403402
701.83001,0.3612996,-58.774546,0.6387,-97.480073
701.86001,0.8242056,-99.184556,0.175794,-137.892276
701.89001,0.7302294,-166.331313,0.269771,-25.041225
701.92001,0.3341474,157.743944,0.665853,-60.96816
701.95001,0.2813301,136.387691,0.71867,-82.326606
701.98001,0.4586749,111.13427,0.541325,-107.582218
702.01001,0.9901522,57.979045,0.009848,-160.739635
702.04001,0.5360002,-1.906504,0.464,-40.627375
702.07001,0.2928278,-29.967239,0.707172,-68.690302
702.10001,0.3080341,-50.858303,0.691966,-89.583556
702.13001,0.6163091,-82.007639,0.383691,-120.735084
702.16001,0.9342811,-146.265019,0.065719,-4.994654
702.19001,0.4083871,166.580123,0.591613,-52.151703
702.22001,0.2767631,143.061405,0.723237,-75.672611
702.25001,0.3632653,120.954636,0.636735,-97.78157
702.28001,0.8293307,80.309401,0.170669,-138.428995
702.31001,0.7258894,13.283384,0.274111,-25.457202
702.34001,0.3332361,-22.419943,0.666764,-61.162718
702.37001,0.2815202,-43.730603,0.71848,-82.475568
702.40001,0.4598026,-68.999045,0.540197,-107.746198
702.43001,0.9905417,-122.185996,0.009458,-160.935339
702.46001,0.5356893,178.037188,0.464311,-40.714343
702.49001,0.2928724,150.013802,0.707128,-68.739918
702.52001,0.3078301,129.15038,0.69217,-89.605528
702.55001,0.6146362,98.094364,0.385364,-120.663733
702.58001,0.9363262,33.98802,0.063674,-4.772264
702.61001,0.4099536,-13.290507,0.590046,-52.052979
702.64001,0.2768719,-36.83669,0.723128,-75.60135
702.67001,0.3615833,-58.870666,0.638417,-97.637513
702.70001,0.8234968,-99.180507,0.176503,-137.949541
702.73001,0.7325057,-166.206168,0.267494,-24.97739
702.76001,0.3351403,157.82671,0.66486,-60.946699
702.79001,0.2809701,136.496789,0.71903,-82.278807
702.82001,0.454771,111.429949,0.545229,-107.347832
702.85001,0.9871906,58.864057,0.012809,-159.915911
702.88001,0.5434333,-1.356517,0.456567,-40.138671
702.91001,0.2943188,-29.644511,0.705681,-68.428851
702.94001,0.3057119,-50.464339,0.694288,-89.250865
702.97001,0.603564,-81.057107,0.396436,-119.845819
703.00001,0.9462596,-144.601375,0.05374,-3.392271
703.03001,0.4165781,167.347774,0.583422,-51.445308
