lamda	 DiffPhase
400.006010 -2.006912e-05 
400.012010 -2.006849e-05 
400.018010 -2.006786e-05 
400.024010 -2.006723e-05 
400.030010 -2.006661e-05 
400.036010 -2.006599e-05 
400.042010 -2.006538e-05 
400.048010 -2.006477e-05 
400.054010 -2.006416e-05 
400.060010 -2.006356e-05 
400.066010 -2.006296e-05 
400.072010 -2.006236e-05 
400.078010 -2.006177e-05 
400.084010 -2.006118e-05 
400.090010 -2.006060e-05 
400.096010 -2.006002e-05 
400.102010 -2.005944e-05 
400.108010 -2.005887e-05 
400.114010 -2.005830e-05 
400.120010 -2.005774e-05 
400.126010 -2.005718e-05 
400.132010 -2.005662e-05 
400.138010 -2.005607e-05 
400.144010 -2.005552e-05 
400.150010 -2.005497e-05 
400.156010 -2.005443e-05 
400.162010 -2.005389e-05 
400.168010 -2.005336e-05 
400.174010 -2.005283e-05 
400.180010 -2.005230e-05 
400.186010 -2.005178e-05 
400.192010 -2.005126e-05 
400.198010 -2.005074e-05 
400.204010 -2.005023e-05 
400.210010 -2.004972e-05 
400.216010 -2.004922e-05 
400.222010 -2.004872e-05 
400.228010 -2.004822e-05 
400.234010 -2.004773e-05 
400.240010 -2.004724e-05 
400.246010 -2.004675e-05 
400.252010 -2.004627e-05 
400.258010 -2.004579e-05 
400.264010 -2.004531e-05 
400.270010 -2.004484e-05 
400.276010 -2.004438e-05 
400.282010 -2.004391e-05 
400.288010 -2.004345e-05 
400.294010 -2.004299e-05 
400.300010 -2.004254e-05 
400.306010 -2.004209e-05 
400.312010 -2.004165e-05 
400.318010 -2.004120e-05 
400.324010 -2.004076e-05 
400.330010 -2.004033e-05 
400.336010 -2.003990e-05 
400.342010 -2.003947e-05 
400.348010 -2.003904e-05 
400.354010 -2.003862e-05 
400.360010 -2.003820e-05 
400.366010 -2.003779e-05 
400.372010 -2.003738e-05 
400.378010 -2.003697e-05 
400.384010 -2.003657e-05 
400.390010 -2.003617e-05 
400.396010 -2.003577e-05 
400.402010 -2.003537e-05 
400.408010 -2.003498e-05 
400.414010 -2.003460e-05 
400.420010 -2.003421e-05 
400.426010 -2.003383e-05 
400.432010 -2.003346e-05 
400.438010 -2.003308e-05 
400.444010 -2.003271e-05 
400.450010 -2.003234e-05 
400.456010 -2.003198e-05 
400.462010 -2.003162e-05 
400.468010 -2.003126e-05 
400.474010 -2.003091e-05 
400.480010 -2.003056e-05 
400.486010 -2.003021e-05 
400.492010 -2.002986e-05 
400.498010 -2.002952e-05 
400.504010 -2.002918e-05 
400.510010 -2.002885e-05 
400.516010 -2.002852e-05 
400.522010 -2.002819e-05 
400.528010 -2.002786e-05 
400.534010 -2.002754e-05 
400.540010 -2.002722e-05 
400.546010 -2.002690e-05 
400.552010 -2.002659e-05 
400.558010 -2.002628e-05 
400.564010 -2.002597e-05 
400.570010 -2.002566e-05 
400.576010 -2.002536e-05 
400.582010 -2.002506e-05 
400.588010 -2.002477e-05 
400.594010 -2.002447e-05 
400.600010 -2.002418e-05 
400.606010 -2.002389e-05 
400.612010 -2.002361e-05 
400.618010 -2.002333e-05 
400.624010 -2.002305e-05 
400.630010 -2.002277e-05 
400.636010 -2.002250e-05 
400.642010 -2.002222e-05 
400.648010 -2.002196e-05 
400.654010 -2.002169e-05 
400.660010 -2.002143e-05 
400.666010 -2.002117e-05 
400.672010 -2.002091e-05 
400.678010 -2.002065e-05 
400.684010 -2.002040e-05 
400.690010 -2.002015e-05 
400.696010 -2.001990e-05 
400.702010 -2.001965e-05 
400.708010 -2.001941e-05 
400.714010 -2.001917e-05 
400.720010 -2.001893e-05 
400.726010 -2.001870e-05 
400.732010 -2.001846e-05 
400.738010 -2.001823e-05 
400.744010 -2.001800e-05 
400.750010 -2.001778e-05 
400.756010 -2.001755e-05 
400.762010 -2.001733e-05 
400.768010 -2.001711e-05 
400.774010 -2.001689e-05 
400.780010 -2.001668e-05 
400.786010 -2.001646e-05 
400.792010 -2.001625e-05 
400.798010 -2.001604e-05 
400.804010 -2.001583e-05 
400.810010 -2.001563e-05 
400.816010 -2.001543e-05 
400.822010 -2.001523e-05 
400.828010 -2.001503e-05 
400.834010 -2.001483e-05 
400.840010 -2.001463e-05 
400.846010 -2.001444e-05 
400.852010 -2.001425e-05 
400.858010 -2.001406e-05 
400.864010 -2.001387e-05 
400.870010 -2.001368e-05 
400.876010 -2.001350e-05 
400.882010 -2.001332e-05 
400.888010 -2.001314e-05 
400.894010 -2.001296e-05 
400.900010 -2.001278e-05 
400.906010 -2.001260e-05 
400.912010 -2.001243e-05 
400.918010 -2.001226e-05 
400.924010 -2.001209e-05 
400.930010 -2.001192e-05 
400.936010 -2.001175e-05 
400.942010 -2.001158e-05 
400.948010 -2.001142e-05 
400.954010 -2.001125e-05 
400.960010 -2.001109e-05 
400.966010 -2.001093e-05 
400.972010 -2.001077e-05 
400.978010 -2.001061e-05 
400.984010 -2.001045e-05 
400.990010 -2.001030e-05 
400.996010 -2.001014e-05 
401.002010 -2.000999e-05 
401.008010 -2.000984e-05 
401.014010 -2.000968e-05 
401.020010 -2.000953e-05 
401.026010 -2.000938e-05 
401.032010 -2.000924e-05 
401.038010 -2.000909e-05 
401.044010 -2.000894e-05 
401.050010 -2.000880e-05 
401.056010 -2.000865e-05 
401.062010 -2.000851e-05 
401.068010 -2.000837e-05 
401.074010 -2.000823e-05 
401.080010 -2.000808e-05 
401.086010 -2.000794e-05 
401.092010 -2.000781e-05 
401.098010 -2.000767e-05 
401.104010 -2.000753e-05 
401.110010 -2.000739e-05 
401.116010 -2.000726e-05 
401.122010 -2.000712e-05 
401.128010 -2.000698e-05 
401.134010 -2.000685e-05 
401.140010 -2.000671e-05 
401.146010 -2.000658e-05 
401.152010 -2.000645e-05 
401.158010 -2.000631e-05 
401.164010 -2.000618e-05 
401.170010 -2.000605e-05 
401.176010 -2.000592e-05 
401.182010 -2.000579e-05 
401.188010 -2.000565e-05 
401.194010 -2.000552e-05 
401.200010 -2.000539e-05 
401.206010 -2.000526e-05 
401.212010 -2.000513e-05 
401.218010 -2.000500e-05 
401.224010 -2.000487e-05 
401.230010 -2.000474e-05 
401.236010 -2.000461e-05 
401.242010 -2.000448e-05 
401.248010 -2.000435e-05 
401.254010 -2.000422e-05 
401.260010 -2.000409e-05 
401.266010 -2.000396e-05 
401.272010 -2.000383e-05 
401.278010 -2.000370e-05 
401.284010 -2.000357e-05 
401.290010 -2.000344e-05 
401.296010 -2.000331e-05 
401.302010 -2.000317e-05 
401.308010 -2.000304e-05 
401.314010 -2.000291e-05 
401.320010 -2.000278e-05 
401.326010 -2.000264e-05 
401.332010 -2.000251e-05 
401.338010 -2.000238e-05 
401.344010 -2.000224e-05 
401.350010 -2.000211e-05 
401.356010 -2.000197e-05 
401.362010 -2.000184e-05 
401.368010 -2.000170e-05 
401.374010 -2.000156e-05 
401.380010 -2.000143e-05 
401.386010 -2.000129e-05 
401.392010 -2.000115e-05 
401.398010 -2.000101e-05 
401.404010 -2.000087e-05 
401.410010 -2.000072e-05 
401.416010 -2.000058e-05 
401.422010 -2.000044e-05 
401.428010 -2.000030e-05 
401.434010 -2.000015e-05 
401.440010 -2.000000e-05 
401.446010 -1.999986e-05 
401.452010 -1.999971e-05 
401.458010 -1.999956e-05 
401.464010 -1.999941e-05 
401.470010 -1.999926e-05 
401.476010 -1.999911e-05 
401.482010 -1.999895e-05 
401.488010 -1.999880e-05 
401.494010 -1.999864e-05 
401.500010 -1.999848e-05 
401.506010 -1.999833e-05 
401.512010 -1.999817e-05 
401.518010 -1.999801e-05 
401.524010 -1.999784e-05 
401.530010 -1.999768e-05 
401.536010 -1.999751e-05 
401.542010 -1.999735e-05 
401.548010 -1.999718e-05 
401.554010 -1.999701e-05 
401.560010 -1.999684e-05 
401.566010 -1.999667e-05 
401.572010 -1.999649e-05 
401.578010 -1.999632e-05 
401.584010 -1.999614e-05 
401.590010 -1.999596e-05 
401.596010 -1.999578e-05 
401.602010 -1.999560e-05 
401.608010 -1.999541e-05 
401.614010 -1.999523e-05 
401.620010 -1.999504e-05 
401.626010 -1.999485e-05 
401.632010 -1.999466e-05 
401.638010 -1.999447e-05 
401.644010 -1.999427e-05 
401.650010 -1.999408e-05 
401.656010 -1.999388e-05 
401.662010 -1.999368e-05 
401.668010 -1.999348e-05 
401.674010 -1.999327e-05 
401.680010 -1.999306e-05 
401.686010 -1.999286e-05 
401.692010 -1.999265e-05 
401.698010 -1.999243e-05 
401.704010 -1.999222e-05 
401.710010 -1.999200e-05 
401.716010 -1.999178e-05 
401.722010 -1.999156e-05 
401.728010 -1.999134e-05 
401.734010 -1.999111e-05 
401.740010 -1.999088e-05 
401.746010 -1.999065e-05 
401.752010 -1.999042e-05 
401.758010 -1.999018e-05 
401.764010 -1.998995e-05 
401.770010 -1.998971e-05 
401.776010 -1.998947e-05 
401.782010 -1.998922e-05 
401.788010 -1.998897e-05 
401.794010 -1.998872e-05 
401.800010 -1.998847e-05 
401.806010 -1.998822e-05 
401.812010 -1.998796e-05 
401.818010 -1.998770e-05 
401.824010 -1.998744e-05 
401.830010 -1.998717e-05 
401.836010 -1.998691e-05 
401.842010 -1.998664e-05 
