lamdapeak	 Rpeak
400.054010 0.005917 
404.854010 0.006247 
409.786010 0.005917 
414.826010 0.005954 
419.998010 0.005917 
425.302010 0.005953 
430.738010 0.005917 
436.324010 0.006247 
442.036010 0.005917 
447.928010 0.006848 
453.940010 0.005917 
460.168010 0.007787 
466.510010 0.005917 
473.086010 0.009114 
479.788010 0.005917 
486.754010 0.010902 
493.840010 0.005917 
501.232010 0.013260 
508.732010 0.005917 
516.586010 0.016346 
524.554010 0.005917 
532.906010 0.020390 
541.372010 0.005917 
550.282010 0.025737 
559.300010 0.005917 
568.816010 0.032914 
578.434010 0.005917 
588.616010 0.042758 
598.894010 0.005917 
609.820010 0.056653 
620.812010 0.005917 
632.554010 0.076997 
644.332010 0.005917 
656.974010 0.108210 
669.580010 0.005917 
683.218010 0.158992 
696.676010 0.005917 
711.376010 0.247662 
725.596010 0.005917 
741.346010 0.413566 
755.884010 0.005917 
772.312010 0.716034 
785.056010 0.005917 
820.990010 0.999790 
859.912010 0.999790 
903.214010 0.005917 
920.698010 0.716034 
945.178010 0.005917 
968.938010 0.413566 
997.228010 0.005917 
